code,name,pe,2018_profit,2017_profit,,2016_profit,,2015_profit,,2014_profit
486,RUSAL,3.488,0,1523,42.60%,1068,-24.20%,1409,49.58%,942
656,复星国际,11.043,0,22971,41.09%,16281,0.61%,16183,27.38%,12705
345,VITASOY INT'L,55.599,822,848,40.63%,603,13.99%,529,#DIV/0!,0
639,首钢资源,-23.038,0,1648,,144,,-836,,-84.21
2607,上海医药,16.523,0,5321,40.58%,3785,4.24%,3631,18.54%,3063
1113,长实地产,13.453,0,38127,40.31%,27174,12.23%,24213,#DIV/0!,0
633,中国全通,3.968,0,360,40.08%,257,-51.42%,529,44.14%,367
3639,亿达中国,0,0,1599,,1031,,1442,,1492
123,越秀地产,10.216,0,5074,40.05%,3623,-1.92%,3694,-18.09%,4510
3839,正大企业国际,10.324,0,19.07,40.01%,13.62,-9.44%,15.04,#DIV/0!,0
158,万邦投资,0,0,1546,,312,,590,,36.43
1681,康臣药业,21.382,0,560,39.65%,401,25.31%,320,21.21%,264
380,冠力国际,13.8,0,76.03,39.50%,54.5,37.52%,39.63,50.06%,26.41
358,江西铜业股份,39.202,0,2904,39.35%,2084,71.38%,1216,-68.92%,3912
610,惠记集团,4.538,0,1064,39.27%,764,62.90%,469,-17.57%,569
3380,龙光地产,15.655,0,11561,39.21%,8305,97.27%,4210,10.47%,3811
2393,巨星医疗控股,24.951,0,530,38.02%,384,37.14%,280,90.48%,147
1799,新特能源,0,0,1492,,1170,,967,,0
693,陈唱国际,17.647,0,952,37.97%,690,-10.97%,775,-39.22%,1275
1126,德林国际,22.646,0,488,37.85%,354,76.12%,201,20.36%,167
1999,敏华控股,16.988,1923,2052,37.72%,1490,18.35%,1259,#DIV/0!,0
2298,都市丽人,11.331,0,420,37.70%,305,-55.73%,689,19.83%,575
6868,天福,34.155,0,333,37.60%,242,-7.98%,263,-27.35%,362
255,龙记集团,19.095,0,385,37.50%,280,64.71%,170,-1.16%,172
2202,万科企业,12.787,0,64173,36.98%,46848,17.40%,39903,35.31%,29490
570,中国中药,30.896,0,1786,36.96%,1304,75.27%,744,36.51%,545
1381,粤丰环保,30.882,0,749,36.93%,547,43.57%,381,28.28%,297
83,信和置业,10.931,0,10614,36.90%,7753,-27.00%,10621,2.88%,10324
47,合兴集团,23.857,0,242,36.72%,177,88.10%,94.1,94.90%,48.28
258,汤臣集团,8.216,0,2401,36.42%,1760,45.82%,1207,446.15%,221
272,瑞安房地产,14.746,0,7190,36.38%,5272,427.20%,1000,-60.94%,2560
3326,保发集团,3.653,0,53.79,36.28%,39.47,-40.20%,66,#DIV/0!,0
999,I.T,30.412,758,572,35.87%,421,-14.78%,494,#DIV/0!,0
2221,创业集团控股,28.145,0,95.34,35.72%,70.25,0.37%,69.99,#DIV/0!,0
6886,HTSC,6.141,0,11045,35.70%,8139,-41.20%,13843,#DIV/0!,0
618,北大资源,-7,0,1338,,106,,-6.64,,-130
1257,中国光大绿色环保,0,0,1314,,0,,0,,0
8,电讯盈科,16.791,0,5734,35.65%,4227,-4.80%,4440,-18.89%,5474
12,恒基地产,7.07,0,23796,35.64%,17543,10.47%,15880,27.10%,12494
878,金朝阳集团,-67.459,0,1303,,3103,,23.08,,1801
1798,大唐新能源,44,0,2868,35.60%,2115,1.49%,2084,-1.88%,2124
1459,巨匠建设,3.435,0,168,35.48%,124,-7.46%,134,#DIV/0!,0
1208,五矿资源,-23.49,0,1277,,265,,-1126,,244
85,中国电子,6.304,0,184,35.29%,136,-71.49%,477,37.07%,348
1207,上置集团,-0.47,0,1263,,74.2,,-2257,,924
1317,枫叶教育,48.253,0,441,35.28%,326,50.23%,217,347.98%,48.44
856,伟仕控股,13.98,0,1082,35.25%,800,18.17%,677,-19.79%,844
1138,中远海能,26.96,0,2055,35.11%,1521,156.93%,592,83.85%,322
934,中石化冠德,8.16,0,748,35.02%,554,-24.11%,730,296.74%,184
257,中国光大国际,14.911,0,6306,34.89%,4675,30.73%,3576,33.43%,2680
1447,新福港,13.064,0,175,34.62%,130,37.25%,94.72,#DIV/0!,0
1522,中国城市轨道科技,34.118,0,40.09,34.53%,29.8,-7.25%,32.13,-68.19%,101
1181,唐宫中国,10.29,0,195,34.48%,145,124.53%,64.58,-3.74%,67.09
1668,华南城,3.371,6783,6592,34.42%,4904,-16.30%,5859,#DIV/0!,0
1980,天鸽互动,41.724,0,389,34.14%,290,53.44%,189,-10.43%,211
131,卓能（集团）,0,0,1197,,1157,,257,,395
1589,中国物流资产,0,0,1192,,1083,,0,,0
1828,大昌行集团,13.369,0,1427,33.99%,1065,-2.56%,1093,#DIV/0!,0
731,森信纸业集团,14.324,320,202,33.77%,151,-38.37%,245,#DIV/0!,0
1461,鲁证期货,8.626,0,207,33.55%,155,34.78%,115,#DIV/0!,0
413,南华集团控股,11.476,0,431,33.44%,323,-3.87%,336,140.00%,140
1733,易大宗,-0.301,0,1162,,1166,,-1751,,-1164
2098,卓尔集团,32.609,0,3284,33.17%,2466,12.81%,2186,#DIV/0!,0
725,恒都集团,18.904,0,26.46,33.17%,19.87,22.81%,16.18,-39.96%,26.95
2138,香港医思医疗集团,27.136,330,245,33.15%,184,#DIV/0!,0,#DIV/0!,0
1363,中滔环保,8.547,0,936,33.14%,703,-4.87%,739,41.57%,522
1296,国电科环,-0.422,0,1104,,998,,-3427,,1216
505,欢悦互娱,35,0,214,32.92%,161,121.58%,72.66,152.82%,28.74
173,嘉华国际,9.272,0,6735,32.79%,5072,80.18%,2815,3.99%,2707
2005,石四药集团,59.493,0,851,32.76%,641,18.27%,542,-22.13%,696
1050,嘉利国际,19.322,264,199,32.67%,150,59.61%,93.98,#DIV/0!,0
1272,大唐环境,0,0,1078,,1265,,0,,0
1249,通力电子,10.8,0,256,32.64%,193,-0.52%,194,0.52%,193
1982,南旋控股,7.548,396,395,32.55%,298,#DIV/0!,0,#DIV/0!,0
270,粤海投资,21.536,0,7621,32.49%,5752,9.65%,5246,-14.01%,6101
825,新世界百货中国,65.185,0,278,32.38%,210,-9.09%,231,-65.88%,677
50,香港小轮（集团）,13.163,0,385,32.30%,291,26.52%,230,-81.19%,1223
800,Ａ８新媒体,25,0,42.11,32.17%,31.86,-0.65%,32.07,-25.45%,43.02
59,天誉置业,-46.491,0,1039,,95.76,,-208,,-168
3600,现代牙科,19.394,0,202,32.03%,153,13.33%,135,#DIV/0!,0
1083,港华燃气,21.46,0,1918,31.82%,1455,14.75%,1268,-17.18%,1531
2669,中海物业,39.855,0,438,31.53%,333,104.29%,163,#DIV/0!,0
1373,国际家居零售,18.804,0,96.64,31.50%,73.49,-23.11%,95.58,-41.72%,164
1458,周黑鸭,0,0,999,,963,,0,,0
1093,石药集团,63.352,0,3482,31.45%,2649,22.30%,2166,29.39%,1674
1928,金沙中国有限公司,34.396,0,1773,31.14%,1352,-10.99%,1519,-42.11%,2624
2303,恒兴黄金,100,0,337,31.13%,257,379.57%,53.59,-257.57%,-34.01
743,亚洲水泥（中国）,-22.807,0,985,,330,,-247,,1091
1882,海天国际,17.02,0,2373,31.03%,1811,17.14%,1546,4.04%,1486
467,联合能源集团,23.878,0,1875,30.75%,1434,-140.73%,-3521,-249.38%,2357
2666,环球医疗,11.604,0,1576,30.68%,1206,34.00%,900,#DIV/0!,0
10,恒隆集团,7.864,0,11291,30.67%,8641,24.22%,6956,-51.98%,14486
3737,中智药业,9.784,0,89.88,29.96%,69.16,-31.52%,101,#DIV/0!,0
1530,三生制药,58.603,0,1102,29.65%,850,44.56%,588,#DIV/0!,0
1300,俊知集团,5.043,0,351,29.52%,271,-24.51%,359,-18.78%,442
2018,瑞声科技,33.113,0,5996,29.42%,4633,34.88%,3435,33.09%,2581
320,金宝通,9.915,159,163,29.37%,126,22.33%,103,#DIV/0!,0
563,上实城市开发,12.407,0,3328,28.69%,2586,156.29%,1009,-41.71%,1731
1333,中国忠旺,8.186,0,4733,28.65%,3679,4.43%,3523,18.62%,2970
1043,光宇国际集团科技,167.5,0,292,28.63%,227,166.90%,85.05,47.58%,57.63
603,中油燃气,-17.222,0,916,,976,,174,,857
1124,沿海家园,-9.138,365,901,,-389,,-412,,0
219,顺豪物业,0,0,896,,462,,250,,961
219,顺豪物业,0,0,896,,462,,250,,961
219,顺豪物业,0,0,896,,462,,250,,961
219,顺豪物业,0,0,896,,462,,250,,961
253,顺豪控股,0,0,892,,458,,247,,958
1238,宝龙地产,6.374,0,6523,28.61%,5072,25.11%,4054,85.11%,2190
1282,中国金洋,22.619,0,1053,28.57%,819,290.00%,210,-137.23%,-564
756,天溢森美,13.091,0,109,28.43%,84.87,-20.68%,107,-34.36%,163
683,嘉里建设,8.037,0,10938,28.24%,8529,62.67%,5243,-36.30%,8231
1076,博华太平洋,-80,0,871,,1097,,-55.17,,-1552
451,协鑫新能源,-315,0,864,,267,,23.33,,-137
451,协鑫新能源,-315,0,864,,267,,23.33,,-137
451,协鑫新能源,-315,0,864,,267,,23.33,,-137
451,协鑫新能源,-315,0,864,,267,,23.33,,-137
1910,新秀丽,21.088,0,424,28.10%,331,7.12%,309,3.34%,299
1788,国泰君安国际,13.154,0,1953,28.07%,1525,7.55%,1418,38.48%,1024
111,信达国际控股,11.111,0,81.95,27.99%,64.03,38.20%,46.33,160.13%,17.81
218,申万宏源,20.097,0,116,27.60%,90.91,-55.22%,203,100.99%,101
101,恒隆地产,11.306,0,10478,27.25%,8234,26.50%,6509,-53.73%,14067
898,万事昌国际,0,0,837,,881,,1295,,699
2008,凤凰卫视,14.348,0,610,27.08%,480,64.38%,292,-74.87%,1162
388,香港交易所,49.222,0,8756,27.08%,6890,-26.71%,9401,50.56%,6244
976,齐合天地,-3.592,0,815,,-410,,-1144,,-1068
553,南京熊猫电子股份,14.947,0,176,26.62%,139,1804.11%,7.3,-85.72%,51.13
161,中航国际控股,5.423,0,2313,26.60%,1827,57.36%,1161,-38.11%,1876
2278,海蓝控股,0,0,789,,283,,0,,0
3918,金界控股,12.435,0,263,26.44%,208,10.05%,189,33.10%,142
6826,昊海生物科技,23.48,0,462,26.23%,366,14.02%,321,#DIV/0!,0
61,北亚资源,-0.898,0,753,,310,,-4451,,-1100
88,TAI CHEUNG HOLD,23.798,242,65.5,26.20%,51.9,-89.82%,510,#DIV/0!,0
420,福田实业,14.096,0,212,26.19%,168,10.53%,152,22.58%,124
3377,远洋集团,12.773,0,11730,25.94%,9314,53.32%,6075,-17.78%,7389
1135,亚洲卫星控股,4.545,0,642,25.64%,511,-16.09%,609,-16.12%,726
1277,力量能源,0,0,746,,248,,63.28,,171
1618,中国中冶,7.647,0,8779,25.52%,6994,17.76%,5939,12.27%,5290
2198,中国三江化工,-13.011,0,744,,693,,-165,,147
438,彩虹新能源,2.384,0,133,25.47%,106,-79.85%,526,-131.11%,-1691
2286,辰兴发展,2.198,0,296,25.42%,236,-46.36%,440,#DIV/0!,0
2286,辰兴发展,2.198,0,296,25.42%,236,-46.36%,440,#DIV/0!,0
2286,辰兴发展,2.198,0,296,25.42%,236,-46.36%,440,#DIV/0!,0
2286,辰兴发展,2.198,0,296,25.42%,236,-46.36%,440,#DIV/0!,0
1107,当代置业,3.462,0,1358,25.39%,1083,-19.18%,1340,14.82%,1167
363,上海实业控股,6.933,0,9393,25.26%,7499,31.42%,5706,-15.58%,6759
717,英皇证券,5.337,0,794,25.24%,634,21.92%,520,93.31%,269
3318,中国香精香料,20.077,0,314,25.10%,251,102.42%,124,42.61%,86.95
2009,金隅股份,10.884,0,3974,24.97%,3180,27.10%,2502,-15.22%,2951
593,天洋国际控股,4.047,0,223,24.58%,179,-79.54%,875,-664.52%,-155
2020,安踏体育,38.028,0,3989,24.54%,3203,18.76%,2697,33.58%,2019
1169,海尔电器,21.05,0,4350,24.50%,3494,4.49%,3344,5.62%,3166
1452,迪诺斯环保,4.121,0,-71.33,24.38%,-57.35,659.60%,-7.55,#DIV/0!,0
3996,中国能源建设,4.41,0,11955,23.92%,9647,12.36%,8586,#DIV/0!,0
992,联想集团,-45.556,387,672,,-61.82,,1109,,0
2788,精熙国际,33.158,0,7.62,23.90%,6.15,22.27%,5.03,-9.53%,5.56
2688,新奥能源,39.176,0,5190,23.72%,4195,4.17%,4027,-15.17%,4747
1170,信星集团,11.724,228,163,23.48%,132,29.41%,102,#DIV/0!,0
220,统一企业中国,39.307,0,1187,23.26%,963,-6.60%,1031,177.15%,372
1448,福寿园,46.298,0,685,22.98%,557,21.09%,460,34.90%,341
819,天能动力,16.733,0,1408,22.97%,1145,53.49%,746,-283.29%,-407
1049,时富投资,10.95,0,-67.34,22.95%,-54.77,-310.17%,26.06,-59.85%,64.9
6136,康达环保,6.223,0,537,22.88%,437,-1.35%,443,15.97%,382
106,朗诗绿色地产,5.106,0,1175,22.78%,957,31.10%,730,61.86%,451
694,北京首都机场股份,19.051,0,3553,22.77%,2894,3.39%,2799,16.97%,2393
296,英皇娱乐酒店,8.426,469,410,22.75%,334,-55.99%,759,#DIV/0!,0
98,兴发铝业,8.103,0,567,22.73%,462,-1.70%,470,9.56%,429
1813,合景泰富,5.99,0,5555,22.71%,4527,-2.90%,4662,0.34%,4646
1635,大众公用,0,0,627,,681,,0,,0
868,信义玻璃,10.217,0,4093,22.62%,3338,57.97%,2113,41.43%,1494
6830,华众车载,26.923,0,214,22.29%,175,27.74%,137,-13.84%,159
1104,亚太资源,-605,0,617,,-15.71,,-850,,913
357,航基股份,6.829,0,649,22.22%,531,-7.01%,571,31.87%,433
2293,百本医护,22.388,0,39.52,22.20%,32.34,17.77%,27.46,#DIV/0!,0
66,港铁公司,24.025,0,14300,22.12%,11710,-13.34%,13513,-7.96%,14682
2128,中国联塑,6.874,0,2955,21.86%,2425,17.43%,2065,11.80%,1847
2368,鹰美,15.16,274,185,21.71%,152,16.92%,130,#DIV/0!,0
2023,中国绿岛科技,153.333,0,29.46,21.64%,24.22,303.00%,6.01,-75.87%,24.91
1061,亿胜生物科技,33.777,0,197,21.60%,162,23.66%,131,36.81%,95.75
168,青岛啤酒股份,28.6,0,1992,21.46%,1640,-11.59%,1855,-18.78%,2284
709,佐丹奴国际,16.304,0,689,21.30%,568,2.16%,556,2.58%,542
2799,中国华融,3.405,0,76083,21.24%,62755,29.29%,48538,#DIV/0!,0
306,冠忠巴士集团,6.765,317,420,21.04%,347,-21.32%,441,#DIV/0!,0
4,九龙仓集团,3.626,0,20622,20.84%,17065,14.89%,14853,3.99%,14283
354,中国软件国际,36.905,0,633,20.57%,525,25.00%,420,41.41%,297
867,康哲药业,31.909,0,1808,20.53%,1500,40.98%,1064,-5.84%,1130
1190,航标控股,1.023,0,-370,20.52%,-307,-332.58%,132,-43.83%,235
995,安徽皖通高速公路,6.906,0,1602,20.45%,1330,2.54%,1297,-1.44%,1316
2588,中银航空租赁,0,0,551,,474,,0,,0
331,丰盛机电,6.444,0,202,20.24%,168,#DIV/0!,0,#DIV/0!,0
1970,IMAX CHINA,29.389,0,55.11,20.20%,45.85,8.21%,42.37,#DIV/0!,0
1109,华润置地,10.282,0,46094,20.08%,38387,18.04%,32520,21.41%,26786
1319,霭华押业信贷,7.5,158,158,19.70%,132,22.22%,108,#DIV/0!,0
813,世茂房地产,9.858,0,17679,19.29%,14820,-5.09%,15614,-0.36%,15671
968,信义光能,8.299,0,2914,19.04%,2448,73.62%,1410,144.37%,577
2030,卡宾,8.491,0,301,18.97%,253,-35.95%,395,22.67%,322
2880,大连港,19.474,0,711,18.90%,598,29.72%,461,0.22%,460
1548,金斯瑞生物科技,177.193,0,38.52,18.49%,32.51,41.47%,22.98,#DIV/0!,0
267,中信股份,6.658,0,450536,18.31%,380822,-8.63%,416813,#DIV/0!,0
3378,厦门港务,9.917,0,1238,17.79%,1051,26.17%,833,-18.89%,1027
2280,慧聪网,53.976,0,505,17.72%,429,1437.63%,27.9,-85.62%,194
2313,申洲国际,49.004,0,4288,17.71%,3643,26.19%,2887,13.53%,2543
3360,远东宏信,9.178,0,4787,17.56%,4072,13.74%,3580,11.49%,3211
1986,彩客化学,20.251,0,181,17.53%,154,4.05%,148,#DIV/0!,0
425,敏实集团,22.691,0,2488,17.41%,2119,35.05%,1569,15.71%,1356
390,中国中铁,9.068,0,21994,17.16%,18772,10.31%,17017,4.83%,16233
2345,上海集优,7.391,0,352,16.94%,301,6.74%,282,#DIV/0!,0
1359,中国信达,4.567,0,24513,16.91%,20968,8.65%,19298,18.34%,16307
1099,国药控股,20.284,0,11906,16.57%,10214,11.40%,9169,16.62%,7862
1075,首都信息,10.119,0,141,16.53%,121,18.63%,102,#DIV/0!,0
1314,翠华控股,19.02,107,128,16.36%,110,-42.11%,190,#DIV/0!,0
1708,三宝科技,14.362,0,242,16.35%,208,17.51%,177,23.78%,143
1066,威高股份,20.943,0,1528,16.29%,1314,-1.65%,1336,4.70%,1276
1666,同仁堂科技,23.294,0,1168,15.99%,1007,14.30%,881,23.74%,712
2869,绿城服务,0,0,485,,417,,0,,0
548,深圳高速公路股份,12.17,0,1908,15.99%,1645,0.61%,1635,12.06%,1459
1292,长安民生物流,2.578,0,219,15.87%,189,-43.92%,337,10.86%,304
26,中华汽车,12.709,0,71.75,15.74%,61.99,13.58%,54.58,-44.83%,98.93
572,未来世界金融,-9.917,0,475,,132,,-46.77,,4.35
3337,安东油田服务,-10.286,0,474,,143,,92.47,,37.97
292,泛海酒店,0,260,473,,293,,148,,0
156,力宝华润,-5.676,-22.11,469,,-411,,447,,0
226,力宝,-10.053,275,468,,-233,,878,,0
89,大生地产,0,0,468,,427,,331,,713
1036,万科置业海外,13.353,0,162,15.71%,140,-23.08%,182,10.30%,165
3306,江南布衣,0,0,460,,0,,0,,0
3966,中国宝丰国际,0,0,459,,146,,19.16,,30.13
148,建滔化工,17.247,0,8365,15.59%,7237,186.84%,2523,-28.20%,3514
2331,李宁,1062.5,0,446,15.54%,386,30.41%,296,-155.95%,-529
1610,中粮肉食,0,0,448,,949,,0,,0
529,SIS INT'L,0,0,448,,278,,282,,186
1176,珠光控股,12.679,0,1208,15.49%,1046,214.11%,333,-74.73%,1318
6837,海通证券,4.443,0,12889,15.47%,11162,-47.15%,21119,102.68%,10420
2389,北控医疗健康,-38,0,445,,-86.16,,-44.48,,-147
3768,滇池水务,0,0,443,,0,,0,,0
1559,均安控股,31.786,34.67,36.7,15.45%,31.79,22.46%,25.96,#DIV/0!,0
1247,米格国际控股,4.091,0,-150,15.38%,-130,-273.26%,75.03,-61.91%,197
1186,中国铁建,6.593,0,20910,15.33%,18131,9.16%,16609,15.49%,14381
16,新鸿基地产,10.341,0,43336,15.18%,37625,11.43%,33765,-9.02%,37113
71,美丽华酒店,6.712,0,1686,15.16%,1464,-5.12%,1543,4.89%,1471
225,博富临置业,0,0,436,,273,,183,,192
958,华能新能源,11.974,0,5651,15.14%,4908,19.24%,4116,23.01%,3346
3329,交银国际,0,0,435,,0,,0,,0
520,呷哺呷哺,57.568,0,543,14.80%,473,46.44%,323,73.66%,186
216,建业实业,5.409,3505,1024,14.80%,892,-64.76%,2531,#DIV/0!,0
669,创科实业,24.726,0,505,14.77%,440,13.70%,387,19.08%,325
416,锦州银行,3.589,0,18806,14.57%,16414,42.52%,11517,#DIV/0!,0
2886,滨海投资,9.864,0,299,14.56%,261,-12.42%,298,-30.70%,430
2388,中银香港,14.227,0,48769,14.49%,42595,6.01%,40181,#DIV/0!,0
2186,绿叶制药,31.734,0,1116,14.46%,975,8.57%,898,23.69%,726
636,嘉里物流,9.85,0,3064,14.46%,2677,3.84%,2578,10.74%,2328
1500,现恒建筑,3.482,27.66,128,14.29%,112,24.71%,89.81,#DIV/0!,0
1297,中国擎天软件,18.117,0,252,14.03%,221,16.32%,190,21.02%,157
6808,高鑫零售,33.289,0,4487,14.00%,3936,10.10%,3575,-15.16%,4214
1006,长寿花食品,8.246,0,367,13.98%,322,11.42%,289,-10.80%,324
1114,华晨中国汽车,13.446,0,3900,13.87%,3425,3.01%,3325,-37.77%,5343
279,民众金融科技,-1.683,324,408,,-405,,462,,0
2355,宝业集团,4.259,0,872,13.84%,766,-20.13%,959,14.03%,841
2196,复星医药,30.7,0,4062,13.72%,3572,5.93%,3372,24.06%,2718
6188,迪信通,0,0,401,,442,,430,,430
116,周生生,8.802,0,1137,13.70%,1000,-26.90%,1368,0.44%,1362
1636,中国金属利用,-17.138,0,400,,-184,,-427,,355
1738,飞尚无烟煤,-3.011,0,399,,-111,,-503,,-109
1848,中国飞机租赁,12.311,0,972,13.68%,855,77.75%,481,36.26%,353
1265,天津津燃公用,41.25,0,56.98,13.64%,50.14,7.76%,46.53,-46.69%,87.29
696,中国民航信息网络,30.154,0,2473,13.60%,2177,24.54%,1748,39.28%,1255
546,阜丰集团,12.302,0,1715,13.58%,1510,46.18%,1033,-6.77%,1108
11,恒生银行,23.906,0,50076,13.47%,44133,0.25%,44021,#DIV/0!,0
571,丰德丽控股,19.231,0,987,13.19%,872,-37.18%,1388,9.72%,1265
3311,中国建筑国际,7.694,0,6790,12.94%,6012,26.41%,4756,17.49%,4048
20,会德丰,6.755,0,23857,12.88%,21135,5.40%,20053,27.49%,15729
922,安贤园中国,58,39.04,12.71,12.88%,11.26,-74.45%,44.07,#DIV/0!,0
142,第一太平,23.117,0,884,12.76%,784,22.12%,642,-12.89%,737
3,香港中华煤气,28.111,0,11097,12.71%,9846,-0.61%,9906,0.31%,9875
1347,华虹半导体,28.261,0,172,12.42%,153,22.40%,125,3.31%,121
3969,中国通号,13.705,0,4286,12.32%,3816,21.37%,3144,#DIV/0!,0
1566,华夏动漫,21.473,21.47,128,12.28%,114,19.82%,95.14,#DIV/0!,0
1838,CHINAPROPERTIES,0,0,382,,1047,,2065,,2546
1329,首创钜大,0,0,379,,450,,377,,-48.8
373,联合集团,2.97,0,5882,12.14%,5245,-14.17%,6111,68.58%,3625
1177,中国生物制药,45.194,0,4196,12.10%,3743,8.68%,3444,22.96%,2801
3393,威胜集团,8.241,0,391,12.03%,349,-25.74%,470,-13.28%,542
6878,鼎丰集团控股,19.355,0,216,11.92%,193,35.92%,142,43.75%,98.78
1579,颐海国际,0,0,369,,255,,0,,0
6030,中信证券,7.523,0,15570,11.91%,13913,-47.78%,26642,80.10%,14793
900,Aeon信贷财务,10.988,639,626,11.79%,560,-13.71%,649,#DIV/0!,0
1085,亨鑫科技,6.76,0,143,11.72%,128,-5.19%,135,16.38%,116
171,银建国际,-49.655,0,366,,-109,,-120,,47.54
857,中国石油股份,24.31,0,67722,11.69%,60635,-23.49%,79252,-53.34%,169833
160,汉国置业,6.635,3494,1004,11.68%,899,-64.61%,2540,#DIV/0!,0
45,大酒店,24.7,0,919,11.53%,824,-18.74%,1014,-8.24%,1105
1263,柏能集团,-163.409,0,359,,158,,-16.18,,64.96
1858,春立医疗,27.699,0,78.98,11.52%,70.82,62.80%,43.5,2.96%,42.25
3330,灵宝黄金,-2.779,0,358,,152,,-110,,298
1608,伟能集团,0,0,357,,253,,0,,0
1285,嘉士利集团,6.424,0,128,11.30%,115,-15.44%,136,51.26%,89.91
1929,周大福,27.721,5832,4378,11.23%,3936,-40.89%,6659,#DIV/0!,0
1044,恒安国际,21.304,0,5272,11.15%,4743,-22.89%,6151,6.97%,5750
112,勒泰商业地产,-38.772,0,351,,-218,,-39.26,,-18.46
641,恒天立信,0,0,351,,151,,211,,151
1818,招金矿业,45.188,0,888,11.14%,799,43.96%,555,-18.74%,683
718,太和控股,-9.524,0,350,,-159,,-74.75,,0
718,太和控股,-9.524,0,350,,-159,,-74.75,,0
718,太和控股,-9.524,0,350,,-159,,-74.75,,0
718,太和控股,-9.524,0,350,,-159,,-74.75,,0
3899,中集安瑞科,24.063,0,740,11.11%,666,-7.24%,718,-41.29%,1223
3903,瀚华金控,6.203,0,420,11.11%,378,-22.22%,486,-26.92%,665
1260,皓天财经集团,5.931,169,324,10.96%,292,21.67%,240,#DIV/0!,0
212,NANYANG HOLD,0,0,337,,152,,160,,284
3618,重庆农村商业银行,4.717,0,23970,10.65%,21662,-1.04%,21889,10.54%,19802
29,达力集团,17.488,0,147,10.53%,133,9.02%,122,2.52%,119
1469,结好金融,0,340,331,,414,,0,,0
6822,科劲国际,5.339,0,179,10.49%,162,-16.49%,194,65.81%,117
916,龙源电力,14.515,0,8337,10.45%,7548,5.94%,7125,8.63%,6559
121,卜蜂莲花,-3.704,0,327,,-432,,73.93,,52.72
2329,国瑞置业,6.55,0,3567,10.43%,3230,19.63%,2700,31.13%,2059
3608,永盛新材料,15.952,0,121,10.00%,110,35.55%,81.15,10.89%,73.18
2686,亚美能源,-67.391,0,322,,197,,230,,0
2348,东瑞制药,10.245,0,366,9.91%,333,-11.67%,377,45.56%,259
440,大新金融,8.414,0,5499,9.85%,5006,2.86%,4867,#DIV/0!,0
411,南顺（香港）,0,0,319,,269,,172,,181
1258,中国有色矿业,-3.071,0,319,,69.1,,-352,,169
1345,中国先锋医药,15.094,0,309,9.57%,282,36.23%,207,-32.13%,305
99,王氏国际,0,0,316,,367,,227,,248
289,WING ON CO,8.013,0,648,9.46%,592,6.28%,557,-19.39%,691
3799,达利食品,23.299,0,4352,9.43%,3977,8.04%,3681,#DIV/0!,0
