code,name,pe,2018_profit,2017_profit,,2016_profit,,2015_profit,,2014_profit
842,理士国际,9.149,0,307,9.25%,281,108.15%,135,20.54%,112
1573,中国优质能源,0,0,313,,302,,0,,0
2,中电控股,17.77,0,18698,9.05%,17146,-22.13%,22020,47.83%,14895
837,谭木匠,8.743,0,157,9.03%,144,-5.26%,152,-8.43%,166
6169,宇华教育,0,0,309,,0,,0,,0
434,博雅互动,3.756,0,230,9.00%,211,-44.18%,378,15.60%,327
1776,广发证券,4.875,0,11644,8.77%,10705,-39.88%,17806,#DIV/0!,0
359,海升果汁,-290,0,306,,141,,7.03,,24.63
2356,大新银行集团,10.382,0,5132,8.73%,4720,2.90%,4587,10.13%,4165
688,中国海外发展,6.482,0,62874,8.58%,57905,26.13%,45908,8.24%,42414
1103,大生农业金融,1.396,0,488,8.44%,450,17.80%,382,44.15%,265
23,东亚银行,25.27,0,15953,8.42%,14714,-7.27%,15867,#DIV/0!,0
334,华显光电,15,0,132,8.20%,122,722.66%,14.83,#DIV/0!,0
540,迅捷环球控股,14.146,0,50.54,7.72%,46.92,17.39%,39.97,-2.51%,41
831,利亚零售,16.54,0,183,7.65%,170,22.30%,139,-7.95%,151
3698,徽商银行,5.113,0,22508,7.60%,20918,23.21%,16977,#DIV/0!,0
2014,浩泽净水,101.053,0,286,7.52%,266,407.15%,52.45,-67.42%,161
371,北控水务集团,14.397,0,5656,7.51%,5261,23.38%,4264,22.78%,3473
932,御药堂,15.25,-133,16.42,7.46%,15.28,-62.01%,40.22,#DIV/0!,0
1599,城建设计,9.705,0,609,7.41%,567,22.73%,462,11.59%,414
1221,信和酒店（集团）,21.037,0,190,7.34%,177,-19.55%,220,-13.73%,255
177,江苏宁沪高速公路,15.993,0,4724,7.29%,4403,25.37%,3512,1.30%,3467
1038,长江基建集团,13.541,0,10928,7.14%,10200,-12.45%,11650,-63.98%,32346
46,科联系统,13.942,0,60.85,7.13%,56.8,13.42%,50.08,-9.47%,55.32
2789,远大中国,-2.757,0,291,,174,,-168,,296
1700,华地国际控股,11.711,0,531,7.06%,496,-28.74%,696,-24.35%,920
1206,同方泰德,5.945,0,320,7.02%,299,12.83%,265,548.56%,40.86
524,E-KONG GROUP,50,0,-60.86,6.87%,-56.95,61.06%,-35.36,45.81%,-24.25
2068,中铝国际,15.496,0,1418,6.86%,1327,36.95%,969,-24.53%,1284
1035,ＢＢＩ生命科学,24.602,0,69.31,6.73%,64.94,24.69%,52.08,194.57%,17.68
679,亚洲联网科技,0,0,281,,1050,,34.21,,14.32
690,联康生物科技集团,-9.667,0,278,,-53.82,,-57.23,,-40.62
6823,香港电讯－ＳＳ,16.068,0,6080,6.70%,5698,24.25%,4586,38.97%,3300
2357,中航科工,22.01,0,2913,6.66%,2731,12.71%,2423,21.45%,1995
5,汇丰控股,143.529,0,63776,6.58%,59836,-15.83%,71092,-4.69%,74593
185,正恒国际控股,0,0,275,,-51.97,,-51.33,,0
817,中国金茂,9.79,0,8825,6.44%,8291,3.99%,7973,-24.35%,10540
1288,农业银行,5.452,0,542898,6.42%,510128,-5.68%,540862,3.19%,524126
6068,睿见教育,0,0,270,,0,,0,,0
417,谢瑞麟,18.661,121,116,6.42%,109,#DIV/0!,0,#DIV/0!,0
56,联合地产（香港）,2.826,0,5590,6.35%,5256,-15.66%,6232,80.74%,3448
590,六福集团,17.894,1621,1289,6.35%,1212,-38.66%,1976,#DIV/0!,0
939,建设银行,6.299,0,594031,6.10%,559860,-4.57%,586687,5.38%,556740
1569,民生教育,0,0,263,,251,,0,,0
576,浙江沪杭甬,7.64,0,5183,6.01%,4889,-10.24%,5447,44.56%,3768
126,佳宁娜,11.649,484,161,5.92%,152,-11.63%,172,#DIV/0!,0
1383,太阳世纪集团,-7.706,0,262,,-50.2,,209,,431
1396,毅德国际,2.5,0,987,5.90%,932,-30.76%,1346,#DIV/0!,0
245,中国民生金融,-37.143,0,259,,51.43,,-44.53,,-43.3
1193,华润燃气,28.084,0,6305,5.88%,5955,12.13%,5311,11.58%,4760
552,中国通信服务,12.289,0,3232,5.76%,3056,8.18%,2825,7.37%,2631
428,汇嘉中国,0.086,0,-206,5.64%,-195,-161.71%,316,-964.10%,-36.57
733,合富辉煌,9.407,0,491,5.59%,465,46.23%,318,35.32%,235
1460,扬科集团,17.714,-7.8,41.73,5.35%,39.61,29.87%,30.5,#DIV/0!,0
1398,工商银行,6.037,0,675654,5.29%,641681,-4.05%,668733,5.34%,634858
1065,天津创业环保股份,12.527,0,819,5.27%,778,14.75%,678,9.00%,622
97,恒基发展,4.49,0,125,5.04%,119,-63.94%,330,-1600.00%,-22
698,通达集团,12.778,0,1256,4.93%,1197,37.27%,872,35.83%,642
2001,新高教集团,0,0,250,,113,,0,,0
3968,招商银行,10.546,0,220039,4.81%,209949,3.85%,202166,#DIV/0!,0
1600,天伦燃气,27.408,0,637,4.77%,608,15.59%,526,41.78%,371
1689,华禧控股,16.165,35.45,53.08,4.49%,50.8,-37.42%,81.17,#DIV/0!,0
312,岁宝百货,32.5,0,60.13,4.30%,57.65,23.21%,46.79,88.90%,24.77
638,建溢集团,-13.473,182,245,,-31.57,,-115,,0
1588,畅捷通,-17.938,0,243,,-137,,-88.82,,106
3363,正业国际,0,0,243,,125,,56.72,,59.77
1963,重庆银行,3.544,0,10015,4.29%,9603,11.75%,8593,14.83%,7483
1361,３６１度,10.505,0,988,4.11%,949,3.72%,915,26.38%,724
385,建联集团,0,0,240,,279,,212,,166
1090,大明国际,-9.41,0,239,,678,,-198,,336
601,权智（国际）,-48,0,239,,-31,,-111,,0
608,达利国际,12.368,0,88.6,3.95%,85.23,49.50%,57.01,-53.65%,123
62,载通,14.377,0,1022,3.86%,984,35.35%,727,65.60%,439
468,纷美包装,17.189,0,441,3.76%,425,4.68%,406,11.54%,364
626,大众金融控股,8.865,0,1601,3.62%,1545,-1.02%,1561,6.92%,1460
2633,雅各臣科研制药,0,297,235,,0,,0,,0
335,美建集团,0,166,234,,520,,317,,0
316,东方海外国际,-28.892,0,232,,-138,,353,,329
1052,越秀交通基建,9.69,0,1649,3.45%,1594,42.32%,1120,12.34%,997
3709,珂莱蒂尔,20.956,0,307,3.37%,297,10.82%,268,48.07%,181
224,建生国际,0,192,227,,191,,153,,0
1528,红星美凯龙,6.388,0,5916,3.30%,5727,-3.62%,5942,#DIV/0!,0
1883,中信国际电讯,8.675,0,1061,3.21%,1028,1.78%,1010,-19.07%,1248
1316,耐世特,11.947,0,428,3.13%,415,32.59%,313,32.07%,237
906,中粮包装,10.855,0,410,3.02%,398,3.38%,385,-15.57%,456
503,朗生医药,29.487,0,9.46,2.94%,9.19,-33.50%,13.82,-26.96%,18.92
52,FAIRWOOD HOLD,18.726,255,250,2.88%,243,35.00%,180,#DIV/0!,0
3689,康华医疗,0,0,218,,198,,0,,0
1899,兴达国际,16.667,0,481,2.78%,468,59.73%,293,-49.04%,575
342,新海能源,3.542,0,852,2.77%,829,4.15%,796,-13.67%,922
1596,翼辰实业,0,0,216,,358,,0,,0
579,京能清洁能源,5.271,0,3447,2.77%,3354,-0.56%,3373,44.76%,2330
1568,承达集团,22.677,0,486,2.53%,474,6.52%,445,#DIV/0!,0
117,天利控股集团,-22.911,0,214,,-44.13,,-21.1,,-49.89
1122,庆铃汽车股份,9.784,0,581,2.47%,567,0.35%,565,8.03%,523
1168,百仕达控股,-12.174,0,213,,-143,,-343,,122
536,贸易通,11.845,0,94.17,2.44%,91.93,6.92%,85.98,2.79%,83.65
1777,花样年控股,7.564,0,2567,2.43%,2506,-7.90%,2721,7.55%,2530
40,金山工业,0,197,210,,205,,300,,0
6866,佐力小贷,0,0,209,,201,,197,,125
681,中民控股,-4.24,257,207,,-97.72,,251,,0
2307,锦兴国际控股,11.045,0,86.16,2.43%,84.12,-1.76%,85.63,-19.97%,107
3800,保利协鑫能源,3.568,0,2912,2.39%,2844,-18.16%,3475,24.33%,2795
3300,中国玻璃,-1.779,0,207,,162,,-426,,202
6196,郑州银行,4.172,0,10213,2.33%,9980,26.96%,7861,#DIV/0!,0
430,东方网库,-16.125,0,202,,63.38,,-20.49,,127
2638,港灯－ＳＳ,20.197,0,5280,2.09%,5172,-2.19%,5288,5.19%,5027
1800,中国交通建设,6.239,0,31768,2.07%,31124,20.65%,25798,8.46%,23785
998,中信银行,4.552,0,157231,1.99%,154159,5.92%,145545,16.59%,124839
114,HERALD HOLD,0,-26.11,202,,48.03,,21.66,,0
2188,泰坦能源技术,-25,0,200,,10.95,,-30.33,,-45.17
41,鹰君,9.37,0,3375,1.87%,3313,16.04%,2855,-4.87%,3001
2016,浙商银行,6.154,0,34264,1.82%,33653,33.92%,25130,#DIV/0!,0
1127,汇星印刷,0,0,199,,212,,203,,177
77,进智公共交通,10.541,-23.25,39.83,1.76%,39.14,-330.91%,-16.95,#DIV/0!,0
941,中国移动,10.825,0,120126,1.73%,118088,14.74%,102922,-12.28%,117334
1575,慕容控股,0,0,198,,112,,0,,0
1111,创兴银行,7.562,0,2710,1.35%,2674,16.67%,2292,#DIV/0!,0
3328,交通银行,5.117,0,196388,1.25%,193966,-0.27%,194482,8.93%,178536
3818,中国动向,7.644,0,1027,1.08%,1016,1.09%,1005,1.62%,989
3623,集成金融,15.455,0,32.34,1.00%,32.02,-9.09%,35.22,8.07%,32.59
1146,中国服饰控股,6.583,0,67.92,0.97%,67.27,-47.45%,128,-53.62%,276
1045,亚太卫星,5.463,0,638,0.95%,632,-2.47%,648,-6.09%,690
1200,美联集团,-15.108,0,192,,37.49,,-97.14,,119
1234,中国利郎,20.401,0,669,0.90%,663,-16.50%,794,16.59%,681
605,中国金融投资管理,6.596,0,504,0.80%,500,1.42%,493,8.83%,453
760,新天地产集团,-2.262,0,188,,-54.97,,-191,,-18.9
2006,锦江酒店,16.237,0,2178,0.37%,2170,7.96%,2010,28.19%,1568
798,中电光谷,3.826,0,872,0.35%,869,18.39%,734,23.36%,595
489,东风集团股份,4.744,0,15775,0.23%,15739,11.90%,14065,-4.21%,14683
2868,首创置业,4.486,0,3835,0.16%,3829,6.10%,3609,25.53%,2875
755,上海证大,-2.797,0,186,,-909,,-1053,,-916
1673,华章科技,61.579,0,38.87,0.08%,38.84,1.12%,38.41,6.28%,36.14
728,中国电信,12.162,0,27220,0.07%,27201,2.87%,26442,-7.25%,28508
3636,保利文化,10.33,0,484,0.00%,484,24.42%,389,-20.12%,487
201,华大酒店,0,0,183,,153,,177,,969
1115,西藏水资源,23.178,0,393,0.00%,393,8.26%,363,-21.09%,460
521,海航实业股份,-5.233,0,180,,-20.95,,-237,,-352
1565,成实外教育,83.621,0,322,0.00%,322,157.60%,125,#DIV/0!,0
1110,金活医药集团,19.298,0,95.7,-0.02%,95.72,94.75%,49.15,-0.30%,49.3
3788,中国罕王,-3.896,0,178,,-207,,-407,,33.21
1,长和,2.269,0,46418,-0.10%,46463,-63.85%,128520,477.44%,22257
408,叶氏化工集团,31.294,0,391,-0.26%,392,141.98%,162,-56.33%,371
6138,哈尔滨银行,3.533,0,14134,-0.27%,14172,18.64%,11945,16.50%,10253
511,电视广播,7.881,0,543,-0.37%,545,-43.05%,957,-44.87%,1736
3988,中国银行,5.356,0,483761,-0.39%,485656,2.48%,473912,3.85%,456328
303,VTECH HOLDINGS,15.477,231,200,-0.99%,202,-8.18%,220,#DIV/0!,0
527,瑞风新能源,-8.219,0,176,,127,,55.58,,69.71
1322,创达科技控股,0.664,0,299,-0.99%,302,9.42%,276,-20.69%,348
2208,金风科技,7.667,0,3491,-1.72%,3552,9.39%,3247,53.96%,2109
341,大家乐集团,21.561,570,603,-1.95%,615,-11.51%,695,#DIV/0!,0
6116,拉夏贝尔,6.697,0,737,-1.99%,752,-9.18%,828,12.81%,734
3331,维达国际,24.047,0,984,-2.38%,1008,33.86%,753,-8.39%,822
887,英皇钟表珠宝,-47.778,0,173,,-59.84,,-117,,169
6836,天韵国际控股,9.023,0,164,-2.38%,168,28.24%,131,#DIV/0!,0
1518,新世纪医疗,0,0,173,,175,,0,,0
6818,中国光大银行,4.397,0,92018,-2.49%,94365,1.07%,93364,18.53%,78771
202,润中国际控股,-1.487,-601,172,,-1522,,-352,,0
551,裕元集团,12.684,0,635,-2.61%,652,34.71%,484,27.37%,380
2255,海昌海洋公园,27.246,0,407,-2.63%,418,-9.72%,463,23.47%,375
2398,友佳国际,11.971,0,85.07,-2.94%,87.65,56.66%,55.95,-61.41%,145
929,国际精密,14.086,0,130,-3.70%,135,32.35%,102,-17.74%,124
6189,爱得威建设集团,0,0,167,,142,,0,,0
666,新工投资,0,0,167,,-73.59,,-104,,88.26
305,五菱汽车,6.949,0,385,-3.75%,400,65.29%,242,70.42%,142
1480,恩达集团控股,7.345,0,29.25,-3.81%,30.41,-38.84%,49.72,-2.24%,50.86
702,中国油气控股,-1.111,0,165,,55.29,,-461,,9.96
2200,浩沙国际,1.762,0,316,-4.53%,331,-2.65%,340,-30.47%,489
42,东北电气,128.571,0,-88.12,-4.55%,-92.32,-1327.66%,7.52,-18.79%,9.26
752,笔克远东集团,12.764,0,356,-4.56%,373,10.03%,339,14.14%,297
1125,丽丰控股,212.963,0,1209,-5.10%,1274,-21.50%,1623,-1.64%,1650
2281,兴泸水务,0,0,163,,166,,0,,0
1888,建滔积层板,21.54,0,4643,-5.30%,4903,218.38%,1540,15.88%,1329
1385,上海复旦,26.515,0,246,-5.38%,260,34.72%,193,4.89%,184
589,宝国国际,-24.968,0,161,,128,,-23.42,,170
338,上海石油化工股份,7.828,0,6402,-5.55%,6778,73.39%,3909,-764.80%,-588
3898,中车时代电气,13.515,0,2816,-5.79%,2989,-8.57%,3269,31.50%,2486
184,激成投资,9.064,0,390,-5.80%,414,0.73%,411,15.77%,355
1112,合生元,118.598,0,1369,-6.04%,1457,189.09%,504,-54.92%,1118
2120,康宁医院,31.036,0,73.25,-6.11%,78.02,13.35%,68.83,#DIV/0!,0
3398,华鼎控股,-18.421,0,158,,124,,-13.05,,-139
1811,中广核新能源,9.514,0,166,-6.21%,177,11.32%,159,6.00%,150
3999,大成食品,0,0,157,,193,,-49.13,,-28.18
124,粤海置地,19.02,0,146,-6.41%,156,-11.36%,176,93.62%,90.9
850,投融长富,-2.833,0,155,,-178,,-138,,-139
3606,福耀玻璃,20.264,0,3711,-6.52%,3970,23.79%,3207,#DIV/0!,0
392,北京控股,8.756,0,3774,-6.56%,4039,24.97%,3232,-2.97%,3331
53,国浩集团,13.358,0,707,-6.73%,758,-9.11%,834,-3.47%,864
1430,苏创燃气,0,0,148,,169,,185,,154
1617,南方通信,0,0,148,,115,,0,,0
1091,中信大锰,-18.269,0,147,,-131,,-942,,-35.32
950,李氏大药厂,24.824,0,277,-7.05%,298,4.20%,286,23.81%,231
565,锦艺集团控股,0,0,147,,580,,20.9,,31.4
735,中国电力新能源,32.936,0,1043,-7.12%,1123,73.57%,647,-13.27%,746
602,佳华百货控股,5.481,0,59.86,-7.39%,64.64,-1.30%,65.49,-18.16%,80.02
989,广泽国际发展,-14.318,83.62,146,,-65.08,,-18.62,,0
386,中国石油化工股份,22.344,0,71470,-7.41%,77193,35.36%,57028,-22.40%,73487
604,深圳控股,6.798,0,7665,-7.57%,8293,27.37%,6511,11.20%,5855
2083,大自然家居,-7.385,0,143,,66.44,,-186,,-19.84
2218,安德利果汁,13.774,0,95.87,-7.82%,104,54.49%,67.32,22.56%,54.93
1988,民生银行,3.651,0,141947,-7.86%,154051,0.20%,153751,13.88%,135007
3828,明辉国际,-3.228,0,142,,123,,-199,,75.91
882,天津发展,5.905,0,654,-8.40%,714,-7.87%,775,-8.82%,850
6838,盈利时,0,0,140,,59.02,,99.91,,57.69
775,长江生命科技,17.333,0,330,-8.59%,361,5.87%,341,6.23%,321
3666,小南国,-3.867,0,139,,60.41,,-93.96,,8.12
3396,联想控股,9.137,0,7432,-8.69%,8139,49.67%,5438,#DIV/0!,0
107,四川成渝高速公路,6.132,0,1311,-8.77%,1437,4.51%,1375,5.77%,1300
1382,互太纺织,8.766,827,1057,-8.80%,1159,4.32%,1111,#DIV/0!,0
1766,中国中车,11.547,0,15399,-9.07%,16935,-0.66%,17048,117.14%,7851
816,华电福新,6.911,0,4861,-9.16%,5351,12.30%,4765,-3.58%,4942
586,海螺创业,20.995,0,700,-9.33%,772,6.48%,725,29.46%,560
815,中国白银集团,4.726,0,388,-9.35%,428,6014.29%,7,-97.47%,277
3678,弘业期货,0,0,131,,106,,90.02,,0
136,恒腾网络,-88.333,0,131,,6.98,,-72.28,,0
1240,青建国际,5.011,0,819,-9.60%,906,-17.71%,1101,746.92%,130
726,中民筑友科技,-9.091,0,130,,-75.46,,-2.54,,0
951,超威动力,10.129,0,636,-9.79%,705,29.12%,546,644.27%,73.36
764,永恒策略,1.882,0,-181,-9.95%,-201,-281.08%,111,-52.36%,233
2727,上海电气,15,0,4481,-10.00%,4979,-17.11%,6007,15.47%,5202
64,结好控股,3.786,453,489,-10.11%,544,71.61%,317,#DIV/0!,0
2033,时计宝,7.676,0,290,-10.77%,325,-32.29%,480,13.74%,422
509,世纪阳光,3.097,0,406,-11.16%,457,-8.05%,497,6.20%,468
1627,安保工程控股,0,209,128,,0,,0,,0
596,浪潮国际,0,0,127,,87.74,,22.17,,-61.82
704,和嘉资源,-3.207,0,127,,68.93,,-139,,-1096
935,龙翔集团,12.571,0,87.11,-11.69%,98.64,-11.14%,111,-2.63%,114
2136,利福中国,15.644,0,641,-11.71%,726,#DIV/0!,0,#DIV/0!,0
295,江山控股,-12.769,0,125,,64.89,,-83.42,,28.48
1365,润东汽车,11.653,0,377,-11.71%,427,31.79%,324,-30.77%,468
288,万洲国际,14.036,0,1501,-11.86%,1703,30.80%,1302,-8.31%,1420
366,陆氏集团（越南）,0,0,124,,128,,122,,119
975,MONGOL MINING,-0.745,0,124,,-29.8,,-105,,-247
525,广深铁路股份,22.722,0,1350,-11.99%,1534,5.50%,1454,37.69%,1056
3382,天津港发展,9.135,0,2195,-12.06%,2496,-3.18%,2578,-2.46%,2643
2017,沧海控股,0,0,123,,160,,0,,0
1415,高伟电子,2.759,0,31.11,-12.17%,35.42,-54.94%,78.61,11.20%,70.69
120,COSMOPOL INT'L,-22.692,0,121,,-34.94,,-280,,-52.58
2226,老恒和酿造,6.787,0,216,-12.90%,248,-9.82%,275,11.79%,246
1577,汇鑫小贷,0,0,120,,114,,0,,0
980,联华超市,-4.358,0,119,,-221,,-146,,300
166,新时代能源,0,0,119,,-197,,-1708,,-90.97
659,新创建集团,10.734,0,3433,-13.09%,3950,1.00%,3911,9.98%,3556
494,利丰,6.982,0,330,-13.16%,380,-36.13%,595,-4.65%,624
1253,中国绿地博大绿泽,16.607,0,178,-13.17%,205,1.99%,201,35.81%,148
1219,天喔国际,2.252,0,325,-13.33%,375,-31.07%,544,5.22%,517
239,白花油,0,0,114,,74.73,,74.61,,159
2330,中国上城,-5.222,0,114,,42.48,,-36.1,,51.67
1029,铁货,-0.185,0,113,,-18.81,,-504,,-300
1585,雅迪控股,15.912,0,479,-13.54%,554,#DIV/0!,0,#DIV/0!,0
871,中国疏浚环保,-0.675,0,111,,122,,-237,,162
1578,天津银行,3.983,0,10143,-14.15%,11815,-0.90%,11922,#DIV/0!,0
533,金利来集团,7.824,0,388,-14.16%,452,-1.09%,457,-8.78%,501
6033,电讯数码控股,0,152,109,,104,,97.25,,0
2738,华津国际控股,0,0,108,,118,,0,,0
178,莎莎国际,31.194,549,395,-14.32%,461,-53.53%,992,#DIV/0!,0
459,美联工商m,0,0,108,,21.37,,4.28,,43.18
234,新世纪集团,-21.333,199,106,,-21.81,,115,,0
1211,比亚迪股份,32.811,0,5621,-14.42%,6568,73.07%,3795,334.21%,874
970,耀莱集团,-26.364,113,106,,16.13,,-410,,0
7,凯富能源,-44.545,0,105,,16.98,,-22.91,,-35.75
560,珠江船务,8.13,0,237,-15.05%,279,40.20%,199,-4.78%,209
1443,富临集团控股,8.333,60.41,105,-15.32%,124,-38.31%,201,#DIV/0!,0
513,恒和集团,0,0,103,,-186,,65.16,,51.97
2282,美高梅中国,20.851,0,2624,-15.33%,3099,-5.55%,3281,-43.13%,5769
2877,神威药业,14.695,0,588,-15.40%,695,-12.80%,797,-7.75%,864
70,海王集团,-0.709,0,98.93,,-483,,-996,,504
315,数码通电讯,10.708,0,929,-15.85%,1104,-11.25%,1244,54.15%,807
1639,安捷利实业,0,0,98.86,,45.26,,44000,,32.24
96,YUSEI,0,0,98.17,,81.63,,73.5,,56.99
1570,伟业控股,0,0,97.85,,89.52,,0,,0
1669,环球信贷集团,7.458,0,74,-16.05%,88.15,53.28%,57.51,31.84%,43.62
495,PALADIN,0,0,96.97,,734,,-121,,195
480,香港兴业国际,8.554,2637,1084,-16.16%,1293,-27.44%,1782,#DIV/0!,0
1037,云智汇科技,-6.25,0,96.22,,-96.24,,-29.24,,0
3888,金山软件,60.231,0,814,-16.34%,973,79.52%,542,6.69%,508
1197,中国恒石,5.597,0,260,-16.67%,312,48.57%,210,#DIV/0!,0
6183,中国绿宝,2.027,0,188,-16.81%,226,2.26%,221,#DIV/0!,0
607,丰盛控股,33.905,0,3113,-16.96%,3749,155.73%,1466,-238.43%,-1059
1202,成都普天电缆股份,-7.851,0,95.3,,11.04,,-46.65,,-46.99
880,澳博控股,22.263,0,1947,-17.08%,2348,-5.70%,2490,-63.76%,6870
2066,盛京银行,3.48,0,13250,-17.77%,16114,13.61%,14184,26.59%,11205
896,兴胜创建,1.725,648,554,-17.93%,675,32.09%,511,#DIV/0!,0
3315,金邦达宝嘉,5.677,0,199,-18.78%,245,-17.23%,296,15.18%,257
1428,耀才证券金融,10.781,768,373,-19.09%,461,40.12%,329,#DIV/0!,0
109,天成国际,-95,0,92.12,,10.94,,21.47,,25.62
1222,WANG ON GROUP,5.043,1835,360,-19.10%,445,-36.43%,700,#DIV/0!,0
54,合和实业,8.48,0,2610,-19.20%,3230,-3.50%,3347,71.99%,1946
95,绿景中国地产,14.607,0,1497,-19.21%,1853,213.54%,591,1298.15%,42.27
1005,美力时集团,17.222,0,109,-19.26%,135,-65.99%,397,215.08%,126
144,招商局港口,9.994,0,3141,-19.40%,3897,30.73%,2981,15.05%,2591
2317,味丹国际,12.419,0,23.05,-19.63%,28.68,76.60%,16.24,-1537.17%,-1.13
113,迪生创建,-4.6,164,87.94,,-276,,-83.31,,0
90,琥珀能源,6.911,0,90.56,-19.86%,113,2.73%,110,-216.27%,-94.61
153,中国赛特,2.488,0,314,-19.90%,392,-12.50%,448,-2.40%,459
497,资本策略地产,2.69,1109,1367,-20.11%,1711,508.90%,281,#DIV/0!,0
125,新兴光学,0,74.71,86.69,,63.42,,82.6,,0
1196,伟禄集团,150,0,166,-20.19%,208,330.20%,48.35,3830.89%,1.23
1556,建业建荣,2.375,0,97.23,-20.30%,122,-29.07%,172,#DIV/0!,0
2121,一化控股,4.167,0,225,-20.77%,284,15.92%,245,-8.58%,268
460,四环医药,6.709,0,1688,-20.79%,2131,-20.90%,2694,36.13%,1979
1368,特步国际,19.326,0,725,-20.94%,917,-0.43%,921,13.84%,809
2341,中怡国际,10.764,0,237,-21.26%,301,36.20%,221,8.33%,204
519,实力建业,3.005,0,291,-21.35%,370,4717.71%,7.68,-108.11%,-94.75
1993,雅仕维,-23.077,0,85.53,,49.1,,-16.54,,230
1520,时尚环球,11.538,0,-13.88,-21.89%,-17.77,-191.65%,19.39,-38.58%,31.57
1100,飞达控股,0,0,85.03,,84.68,,55.91,,35.25
684,亚伦国际,0,55.45,84.23,,143,,85.93,,0
3686,祈福生活服务,0,0,84.22,,41.3,,0,,0
1823,华昱高速,-1.461,0,83.89,,62.63,,-113,,91.66
271,丹枫控股,65.4,0,83.55,-22.64%,108,41.16%,76.51,68.75%,45.34
1979,天宝集团,3.814,0,207,-22.76%,268,71.79%,156,#DIV/0!,0
2728,裕华能源（新）,-18.571,0,82.51,,43.89,,5.88,,10.06
2678,天虹纺织,7.946,0,1451,-23.23%,1890,64.35%,1150,91.67%,600
1310,香港宽频,49.388,0,257,-23.28%,335,76.32%,190,#DIV/0!,0
1431,原生态牧业,10.3,0,-67.91,-23.33%,-88.57,-231.74%,67.23,-83.99%,420
176,联太工业,-49.286,0,79.05,,7.76,,-7.73,,0
336,华宝国际,9.957,1638,1340,-23.34%,1748,-24.66%,2320,#DIV/0!,0
57,震雄集团,-7.055,129,78.76,,-140,,42.5,,0
2099,中国黄金国际,-80.375,0,78.63,,34.38,,38.72,,73.36
836,华润电力,7.243,0,12480,-23.69%,16355,-18.26%,20008,31.46%,15220
3789,御佳控股,0,67.98,78.38,,0,,0,,0
374,四洲集团,0,387,78.38,,66.58,,185,,0
1131,鸿宝资源,4.904,766,388,-23.77%,509,138.97%,213,#DIV/0!,0
894,万裕科技,-35.161,0,77.56,,12.28,,-10.36,,81.54
1273,香港信贷,0,82.14,76.83,,76.95,,72.59,,0
1885,中国优材,23,0,74.78,-24.04%,98.45,-1.36%,99.81,20.85%,82.59
6066,中信建投证券,5.918,0,5349,-24.25%,7061,#DIV/0!,0,#DIV/0!,0
670,中国东方航空股份,11.777,0,9431,-24.47%,12486,-1.10%,12625,108.40%,6058
1230,雅士利国际,50.323,0,-335,-24.55%,-444,1003.11%,-40.25,#DIV/0!,0
543,太平洋网络,5.969,0,127,-24.85%,169,-24.55%,224,-18.84%,276
483,包浩斯国际,0,56.81,74.11,,61.86,,149,,0
2722,重庆机电,4.889,0,213,-25.00%,284,-17.44%,344,-0.29%,345
