,code_x,name,roe_2017_1,bvps_2017_1,roe_2017_2,bvps_2017_2,roe_2017_3,bvps_2017_3,roe_2017_4,bvps_2017_4,code_y,pb,pe,industry
0,600000,浦发银行,3.96,16.2,,,11.51,13.2,,,,0.87,6.04,银行
1,600009,上海机场,3.49,,7.33,,11.52,,,,,3.62,24.72,机场
3,600011,华能国际,0.89,,1.08,,3.93,,2.47,,,1.36,53.4,火力发电
7,600018,上港集团,1.86,,5.46,,7.75,,17.92,,,2.52,15.17,港口
13,600019,宝钢股份,2.5,6.96,,,7.6,,12.24,,,1.2,12.25,普钢
15,600021,上海电力,0.71,,1.59,,3.53,,6.98,,,1.64,22.49,火力发电
31,600023,浙能电力,1.59,,4.03,,6.35,,,,,1.24,14.68,火力发电
39,600028,中国石化,2.31,,3.79,,5.37,,7.14,6.01,,1.1,15.61,石油加工
40,600029,南方航空,3.53,,,,15.09,,12.84,,,2.01,16.89,空运
44,600030,中信证券,1.6,,3.39,11.86,5.45,,,,,1.56,20.5,证券
50,600031,三一重工,3.22,,4.94,,,,,,,2.51,26.2,工程机械
52,600038,中直股份,1.03,,2.22,,,,6.49,,,3.95,62.65,航空
54,600048,保利地产,2.1,,6.17,,9.0,,,,,1.69,14.48,全国地产
58,600050,中国联通,0.35,,1.0,,1.68,,0.49,,,0.93,395.46,电信运营
60,600066,宇通客车,2.3,,,,13.79,,22.15,,,3.13,15.49,汽车整车
61,600085,同仁堂,3.7,,7.42,,,,12.55,,,6.06,50.09,中成药
65,600089,特变电工,2.62,,5.71,,,,,,,1.17,12.99,电气设备
66,600100,同方股份,-1.25,,,,-0.86,,,,,1.48,0.0,电脑设备
67,600104,上汽集团,4.0,,7.59,,,,16.87,,,1.77,11.56,汽车整车
75,600109,国金证券,1.62,,3.09,,4.89,,,,,1.46,22.86,证券
77,600115,东方航空,5.79,,8.79,,,,12.64,,,1.84,15.42,空运
79,600153,建发股份,1.94,,4.26,,7.4,,,,,1.42,14.32,商贸代理
81,600157,永泰能源,0.45,,,,,,,,,1.4,61.59,煤炭开采
82,600170,上海建工,2.21,,,,8.36,,10.72,,,1.36,12.64,建筑施工
88,600177,雅戈尔,5.51,,8.65,,,,,,,1.28,8.5,服饰
91,600188,兖州煤业,3.99,,7.1,,10.36,,14.0,,,1.39,9.37,煤炭开采
115,600196,复星医药,3.3,,7.46,,,,13.02,,,4.36,35.3,化学制药
119,600208,新湖中宝,1.3,,1.62,,5.76,,,,,1.22,16.36,全国地产
123,600219,南山铝业,0.9,,2.32,,,,5.01,,,0.9,18.2,铝
126,600276,恒瑞医药,6.35,,11.98,,17.34,,,,,16.13,75.4,化学制药
128,600297,广汇汽车,3.95,,8.16,,11.39,,,,,1.91,14.29,汽车服务
132,600309,万华化学,12.84,,25.43,,38.27,,50.66,,,3.65,8.95,化工原料
133,600340,华夏幸福,6.07,,16.96,,22.81,,31.4,,,3.36,10.75,区域地产
135,600352,浙江龙盛,3.15,,6.28,,,,15.24,,,2.18,14.34,染料涂料
136,600362,江西铜业,1.11,,,,3.35,,3.39,,,1.23,36.42,铜
137,600369,西南证券,0.13,,1.92,,3.08,,3.49,,,1.26,36.46,证券
143,600372,中航电子,-0.43,,,,3.51,,8.57,,,3.9,51.05,航空
149,600373,中文传媒,4.21,,7.0,,,,,,,1.72,14.41,出版业
152,600376,首开股份,0.43,,0.83,,3.38,,,,,1.04,17.63,区域地产
155,600390,五矿资本,1.78,,3.68,,7.41,,,,,1.23,13.52,多元金融
157,600406,国电南瑞,0.2,3.65,3.87,,,,,,,4.46,60.42,软件服务
160,600415,小商品城,6.46,,9.72,,11.2,,,,,2.57,17.06,商品城
161,600436,片仔癀,6.28,,,,17.79,,,,,12.65,56.78,中成药
164,600489,中金黄金,0.66,,,,2.29,,,,,2.47,82.13,黄金
167,600518,康美药业,4.0,,7.9,,,,,,,3.95,26.54,中成药
168,600522,中天科技,3.68,,,,11.72,,,,,2.05,18.44,通信设备
170,600535,天士力,3.92,,9.06,,13.66,,15.24,,,5.62,35.31,中成药
172,600547,山东黄金,2.09,,3.93,,5.63,,7.12,,,3.53,50.66,黄金
173,600570,恒生电子,1.74,,9.08,,11.29,,17.54,,,12.55,81.85,软件服务
175,600583,海油工程,-0.74,,0.86,,,,2.13,,,1.16,54.74,石油开采
176,600585,海螺水泥,2.77,,8.46,,12.26,,19.12,16.87,,1.99,11.23,水泥
180,600588,用友网络,-2.96,,-1.14,3.52,-4.62,,,,,8.78,131.98,软件服务
186,600637,东方明珠,1.61,,4.52,,3.79,,,,,1.72,33.9,影视音像
188,600660,福耀玻璃,3.77,,7.66,,11.87,,17.16,,,3.15,19.0,汽车配件
190,600663,陆家嘴,2.19,,5.86,,11.16,,,,,4.48,20.49,园区开发
191,600674,川投能源,3.86,,6.2,,13.37,,,,,1.8,10.44,水力发电
192,600685,中船防务,0.18,,0.42,,,,0.84,,,3.0,355.81,船舶
198,600688,上海石化,7.61,,9.82,,14.65,,20.84,2.61,,2.22,10.22,石油加工
204,600690,青岛海尔,6.38,,15.47,,19.51,,,,,3.5,13.97,家用电器
210,600704,物产中大,2.03,,,,,,,,,1.68,13.96,商贸代理
211,600705,中航资本,2.33,,,,8.65,,12.33,,,2.07,17.32,多元金融
214,600741,华域汽车,3.94,,,,,,16.51,,,1.79,11.29,汽车配件
215,600795,国电电力,1.97,,,,4.65,,,,,1.16,17.52,火力发电
217,600816,安信信托,7.17,,,,19.92,,25.23,,,3.21,14.15,多元金融
218,600820,隧道股份,1.97,,4.26,,,,,,,1.21,14.44,建筑施工
219,600827,百联股份,2.16,,3.76,,4.05,,,,,1.13,20.85,超市连锁
221,600837,海通证券,2.01,,3.57,,,,,,,1.13,15.51,证券
222,600871,*ST油服,-17.31,,-31.3,,,,,,,-13.42,0.0,石油开采
224,600886,国投电力,3.17,,4.4,,9.94,,10.91,,,1.55,14.7,水力发电
226,600887,伊利股份,7.24,,14.3,,,,,,,7.19,26.41,乳制品
232,600893,航发动力,-0.58,,1.03,,2.33,,5.24,,,2.49,66.84,航空
233,600895,张江高科,2.9,,,,4.72,,,,,2.57,40.95,园区开发
234,600909,华安证券,1.39,,3.38,,,,,,,2.05,31.22,证券
235,600919,江苏银行,3.57,,7.31,,10.73,7.69,,,,0.94,6.81,银行
237,600958,东方证券,2.07,,,,,,,,,1.64,24.52,证券
239,600959,江苏有线,1.57,,2.93,,5.28,,,,,2.08,29.82,影视音像
248,601006,大秦铁路,3.46,,8.2,,11.98,,,,,1.23,8.03,铁路
250,601009,南京银行,4.63,10.55,,,13.71,7.79,,,,1.24,7.04,银行
251,601018,宁波港,1.95,2.68,,,,,7.51,2.76,,1.93,26.28,港口
255,601099,太平洋,-0.8,,,,0.74,,0.99,,,1.64,165.9,证券
257,601117,中国化学,1.12,,,,4.66,,,,,1.26,20.61,建筑施工
258,601118,海南橡胶,0.17,,,,0.18,,,,,3.14,1439.13,橡胶
259,601155,新城控股,0.28,,7.44,,,,34.18,,,3.69,12.61,区域地产
261,601163,三角轮胎,1.98,,3.41,,4.66,,,,,1.71,27.52,汽车配件
263,601166,兴业银行,4.7,17.59,8.61,17.67,12.74,18.41,,,,0.89,5.39,银行
266,601169,北京银行,4.3,8.49,,,11.58,8.35,,,,0.93,6.97,银行
267,601186,中国铁建,2.17,,5.16,,8.23,,12.16,,,0.98,8.34,建筑施工
271,601198,东兴证券,1.63,,,,4.95,,,,,2.12,32.51,证券
272,601211,国泰君安,2.65,,,,,,9.05,14.13,,1.22,15.21,证券
276,601216,君正集团,3.83,,6.54,,,,,,,2.62,18.52,化工原料
280,601225,陕西煤业,7.45,,,,20.92,,,,,1.74,7.35,煤炭开采
282,601288,农业银行,4.37,3.95,8.37,3.93,12.26,4.08,14.57,4.15,,0.92,6.45,银行
283,601375,中原证券,0.94,,,,3.38,,4.24,,,2.37,54.6,证券
289,601377,兴业证券,2.13,,,,6.12,,7.03,,,1.34,19.61,证券
290,601398,工商银行,3.95,5.46,7.85,5.42,11.65,5.62,14.35,5.73,,1.02,7.3,银行
291,601600,中国铝业,1.02,,,,,,3.55,,,1.79,48.76,铝
292,601601,中国太保,1.5,14.65,,,8.1,14.98,10.89,15.17,,2.23,20.91,保险
293,601607,上海医药,3.11,,5.91,,8.25,,10.73,,,2.02,20.62,医药商业
295,601608,中信重工,-0.03,,0.3,,,,0.44,,,2.11,482.13,专用机械
298,601618,中国中冶,2.35,,3.8,,,,8.44,,,1.23,13.06,建筑施工
300,601628,中国人寿,2.03,10.66,4.01,10.64,8.68,11.14,10.49,11.35,,2.22,22.13,保险
312,601633,长城汽车,4.05,,5.04,,6.09,,10.48,,,2.11,20.62,汽车整车
316,601668,中国建筑,3.63,,8.64,,,,,,,1.34,7.39,建筑施工
317,601669,中国电建,3.02,,6.04,,8.37,,,,,1.4,13.21,建筑施工
323,601688,华泰证券,1.56,,3.5,,5.52,,10.56,,,1.46,13.71,证券
329,601727,上海电气,1.07,,2.97,,,,5.32,,,1.53,32.0,电气设备
331,601766,中国中车,1.02,,3.15,,,,9.14,4.24,,2.29,25.78,运输设备
335,601800,中国交建,2.15,,,,7.34,,12.95,,,1.32,10.39,建筑施工
337,601818,光大银行,3.83,4.99,6.88,5.05,10.25,5.22,12.75,5.24,,0.77,6.72,银行
340,601866,中远海发,2.58,,7.69,,,,10.25,,,2.15,23.9,水运
341,601872,招商轮船,1.88,,3.22,,4.46,,3.89,,,1.24,30.62,水运
343,601878,浙商证券,2.72,,,,8.14,,9.22,,,3.1,39.37,证券
344,601898,中煤能源,1.35,,,,2.79,,2.76,,,0.75,27.68,煤炭开采
346,601899,紫金矿业,3.54,,,,7.16,,11.1,,,2.86,28.1,黄金
358,601919,中远海控,1.46,,,,,,13.77,,,2.74,21.3,水运
359,601933,永辉超市,3.8,,5.46,,7.23,,9.32,,,4.63,50.99,超市连锁
361,601939,建设银行,4.41,6.52,8.55,6.5,12.39,6.76,,,,1.07,7.6,银行
363,601958,金钼股份,0.04,,0.12,,0.3,,,,,1.73,434.23,小金属
367,601985,中国核电,2.94,,6.11,,9.77,,,,,2.4,18.89,新型电力
385,601988,中国银行,3.44,4.59,7.6,4.59,,,12.24,4.74,,0.81,6.57,银行
391,601989,中国重工,0.49,,1.09,,1.87,,,,,1.68,87.26,船舶
393,601991,大唐发电,1.58,,,,4.69,,4.22,,,1.13,38.16,火力发电
394,601997,贵阳银行,4.48,9.57,8.69,9.69,14.24,10.25,,,,1.35,7.84,银行
404,601998,中信银行,3.31,7.93,,,9.49,7.38,11.67,8.17,,0.84,7.17,银行
405,603160,汇顶科技,6.21,,16.51,,25.18,,,,,12.34,40.56,元器件
411,603799,华友钴业,5.63,,14.46,,,,,,,12.62,45.59,小金属
415,603833,欧派家居,1.9,,9.76,,,,,,,9.23,44.94,家居用品
416,603858,步长制药,1.75,,5.31,,8.91,,,,,2.76,23.14,中成药
422,603993,洛阳钼业,3.14,,4.43,,3.77,,9.89,,,4.57,63.9,小金属
423,000001,平安银行,2.89,10.94,6.21,11.15,9.6,11.54,11.62,11.77,,0.94,8.16,银行
424,000063,中兴通讯,4.5,6.59,8.28,6.92,13.64,7.36,15.74,7.55,,3.97,27.5,通信设备
427,000157,中联重科,0.23,,3.02,,3.42,,3.57,,,0.86,24.28,工程机械
429,000166,申万宏源,1.84,,3.84,,6.67,,,,,1.77,22.97,证券
431,000413,东旭光电,1.75,,2.84,,4.51,,,,,1.61,31.2,元器件
433,000415,渤海金控,1.28,,,,6.0,,,,,1.16,14.46,多元金融
435,000423,东阿阿胶,6.98,,10.6,,,,,,,4.14,19.92,中成药
438,000425,徐工机械,0.98,,,,,,,,,1.28,26.08,工程机械
439,000538,云南白药,4.47,,,,15.47,,,,,5.72,28.84,中成药
440,000559,万向钱潮,5.23,,,,13.8,,18.99,,,4.69,26.89,汽车配件
441,000568,泸州老窖,6.99,,12.49,,,,,,,6.14,33.74,白酒
442,000623,吉林敖东,2.21,,,,7.09,,9.59,,,1.17,12.78,中成药
446,000625,长安汽车,5.36,,10.42,,12.93,,,,,1.12,6.86,汽车整车
448,000627,天茂集团,0.8,,4.59,,6.04,,,,,2.3,33.31,保险
452,000686,东北证券,1.23,,,,4.07,,4.26,,,1.17,27.55,证券
453,000728,国元证券,1.16,,2.46,,4.27,,5.57,,,1.21,25.41,证券
455,000750,国海证券,1.58,,,,,,,,,1.32,24.22,证券
456,000768,中航飞机,-0.57,,0.6,,0.82,,3.03,,,3.32,110.77,航空
457,000783,长江证券,1.68,,,,5.73,,,,,1.49,20.01,证券
458,000792,盐湖股份,-1.1,,-2.16,,-3.57,,-17.34,,,2.03,0.0,化工原料
460,000895,双汇发展,6.0,,,,23.16,,31.4,,,5.73,19.39,食品
462,000938,紫光股份,1.32,,,,4.64,,,,,3.19,52.36,软件服务
463,000959,首钢股份,1.88,,3.75,,,,,,,0.93,11.17,普钢
464,000961,中南建设,1.1,,2.6,,,,,,,1.94,49.88,建筑施工
466,000963,华东医药,7.2,,13.54,,,,23.02,,,7.84,36.98,化学制药
470,000983,西山煤电,2.78,,5.39,,2.46,,,,,1.33,13.16,煤炭开采
472,002007,华兰生物,5.88,,9.72,,13.67,,18.48,,,6.12,34.79,生物制药
473,002008,大族激光,2.79,,15.83,,24.58,,,,,8.09,28.24,电器仪表
474,002027,分众传媒,12.96,,29.31,,46.98,,,,,13.65,27.17,影视音像
476,002074,国轩高科,5.0,,10.79,,15.14,,,,,2.84,27.65,电气设备
478,002146,荣盛发展,1.92,,6.87,,11.4,,,,,1.69,11.24,全国地产
480,002153,石基信息,1.26,,,,,,,,,5.83,81.17,软件服务
482,002174,游族网络,7.31,,11.7,,,,,,,4.68,28.92,互联网
483,002202,金风科技,0.81,,,,11.43,,,,,2.9,20.14,电气设备
485,002230,科大讯飞,1.03,,1.44,,2.2,,5.74,,,10.31,183.0,软件服务
486,002241,歌尔股份,2.71,,6.46,,11.39,,,,,2.93,20.42,元器件
487,002292,奥飞娱乐,0.95,,2.82,,6.47,,,,,3.19,39.37,影视音像
489,002294,信立泰,6.78,,,,,,25.94,,,7.12,29.68,化学制药
490,002352,顺丰控股,3.7,,,,,,18.43,,,6.57,45.05,仓储物流
492,002385,大北农,2.06,,,,,,,,,2.46,19.89,饲料
494,002411,必康股份,1.98,,,,9.74,,,,,4.52,48.12,化学制药
495,002415,海康威视,5.91,,12.98,,,,,,,12.37,45.77,电器仪表
496,002424,贵州百灵,4.47,,7.69,,10.86,,16.79,,,5.92,38.46,中成药
500,002426,胜利精密,1.68,,,,,,5.39,,,1.89,36.03,元器件
501,002450,康得新,3.42,,,,11.39,,,,,4.02,27.9,化工原料
502,002456,欧菲科技,2.34,,6.85,,11.98,,,,,5.7,37.53,元器件
504,002460,赣锋锂业,5.35,,22.59,,,,46.37,,,12.8,35.17,小金属
506,002465,海格通信,0.27,,,,2.33,,3.89,,,3.14,87.17,通信设备
508,002468,申通快递,5.76,,12.84,,18.77,,,,,5.72,24.44,仓储物流
510,002470,金正大,4.53,,8.48,,9.73,,,,,2.93,23.38,农药化肥
512,002475,立讯精密,2.64,,,,9.31,,,,,5.82,51.41,元器件
516,002508,老板电器,5.91,,13.69,,,,31.66,,,7.08,26.31,家用电器
517,002555,三七互娱,9.13,,17.18,,22.35,,,,,5.26,21.48,互联网
519,002558,巨人网络,4.39,,8.82,,13.09,,,,,7.55,45.11,互联网
521,002572,索菲亚,1.97,,7.49,,14.4,,21.98,,,6.8,33.52,家居用品
530,002594,比亚迪,1.15,,3.33,,5.34,,7.76,,,3.01,37.8,汽车整车
534,002601,龙蟒佰利,4.63,,10.22,,14.91,,19.14,,,2.9,14.96,化工原料
542,002602,世纪华通,2.81,,13.17,,15.08,,,,,6.93,52.52,汽车配件
546,002673,西部证券,1.46,,3.09,,4.65,,,,,1.92,35.62,证券
548,002714,牧原股份,11.33,,16.8,,22.93,,28.12,,,4.37,23.51,农业综合
549,002839,张家港行,2.58,4.52,4.51,,6.96,4.51,9.43,,,1.82,19.73,银行
553,002841,视源股份,6.32,,15.76,,27.67,,,,,13.92,43.93,元器件
555,300003,乐普医疗,4.11,,8.66,,,,15.17,,,9.14,65.35,医疗保健
556,300015,爱尔眼科,5.7,,,,,,,,,18.46,77.04,医疗保健
557,300017,网宿科技,2.65,,,,7.63,,,,,4.38,45.93,电信运营
559,300024,机器人,1.04,,3.13,,4.8,,,,,5.76,78.99,专用机械
560,300027,华谊兄弟,-0.76,,4.66,,6.44,,8.79,,,2.64,30.75,影视音像
562,300033,同花顺,3.41,,10.06,,16.56,,24.68,,,8.57,37.41,软件服务
564,300070,碧水源,1.47,,3.37,,,,,,,3.09,56.61,环境保护
565,300072,三聚环保,6.72,,,,27.46,,,,,6.48,21.4,环境保护
566,300124,汇川技术,3.58,,,,14.67,,,,,10.13,56.99,电器仪表
568,300136,信维通信,9.25,,,,31.58,,,,,12.46,36.06,通信设备
570,300315,掌趣科技,1.91,,,,,,,,,2.03,33.47,互联网
571,600008,首创股份,,,2.62,,4.15,,5.8,,,2.97,39.15,环境保护
573,600010,包钢股份,,,1.24,,2.89,,,,,2.04,52.99,普钢
574,600015,华夏银行,,,6.59,10.82,9.7,11.16,,,,0.79,5.94,银行
576,600061,国投资本,,,4.78,,7.18,,,,,1.41,19.73,证券
580,600068,葛洲坝,,,6.18,,9.18,,17.28,,,1.55,8.3,建筑施工
584,600074,ST保千里,,,8.08,,8.82,,,,,0.96,8.61,电脑设备
585,600118,中国卫星,,,3.55,,,,8.16,,,5.64,71.34,航空
588,600332,白云山,,,6.46,11.1,8.21,11.3,11.34,11.61,,2.58,23.63,中成药
589,600482,中国动力,,,2.2,,3.17,,,,,1.77,42.11,电气设备
590,600485,信威集团,,,5.97,,,,,,,3.5,74.33,通信设备
591,600498,烽火通信,,,6.04,,8.04,,,,,3.28,38.27,通信设备
592,600519,贵州茅台,,,14.33,,24.97,,32.95,,,9.59,32.39,白酒
596,600549,厦门钨业,,,6.75,,8.75,,9.24,,,4.01,44.67,小金属
597,600606,绿地控股,,,7.95,,11.2,,,,,1.5,10.0,全国地产
598,600649,城投控股,,,4.64,,5.33,,9.16,,,1.03,11.21,区域地产
599,600682,南京新百,,,2.59,,10.27,,10.41,,,4.62,50.26,百货
600,600703,三安光电,,,8.33,,12.77,,,,,4.76,28.52,半导体
601,600739,辽宁成大,,,4.56,,6.39,,,,,1.36,16.57,商贸代理
603,600804,鹏博士,,,5.95,,9.07,,,,,2.98,25.57,电信运营
607,600900,长江电力,,,6.25,,13.46,,,,,2.61,14.9,水力发电
608,600926,杭州银行,,,6.39,10.96,,,,,,0.98,8.37,银行
610,600977,中国电影,,,5.96,,,,,,,2.95,31.52,影视音像
611,601012,隆基股份,,,11.57,,20.12,,,,,4.6,18.3,半导体
617,601111,中国国航,,,4.33,,10.34,,8.96,,,1.77,22.29,空运
625,601212,白银有色,,,1.13,,1.89,,,,,4.3,141.41,铜
626,601228,广州港,,,3.25,,5.12,,,,,3.06,48.78,港口
629,601229,上海银行,,,6.51,15.47,9.68,15.91,,,,0.91,7.25,银行
633,601333,广深铁路,,,1.8,,,,3.59,,,1.11,31.39,铁路
637,601336,新华保险,,,5.29,19.78,8.18,20.39,8.76,20.42,,2.27,26.84,保险
638,601611,中国核建,,,3.39,,5.49,,,,,3.24,36.24,建筑施工
640,601718,际华集团,,,3.29,,,,,,,1.26,33.09,服饰
641,601788,光大证券,,,2.6,,4.73,,6.26,,,1.18,19.05,证券
642,601881,中国银河,,,3.38,,,,,,,1.61,26.1,证券
643,601888,中国国旅,,,9.95,,,,,,,7.72,40.8,旅游服务
644,601901,方正证券,,,2.29,4.43,,,3.99,4.55,,1.34,34.56,证券
646,601966,玲珑轮胎,,,5.31,,8.75,,,,,2.47,21.68,汽车配件
648,601992,金隅集团,,,4.1,,5.75,,6.26,,,1.23,17.84,水泥
650,000060,中金岭南,,,6.95,,,,,,,2.26,21.14,铅锌
651,000333,美的集团,,,16.46,,22.61,,25.88,,,4.56,19.52,家用电器
653,000338,潍柴动力,,,8.1,,13.16,,20.25,,,1.94,10.02,汽车配件
654,000540,中天金融,,,9.24,,,,13.5,,,2.15,16.59,多元金融
655,000630,铜陵有色,,,1.41,,2.35,,,,,1.6,51.73,铜
659,000709,河钢股份,,,2.75,,4.81,,,,,0.77,12.12,普钢
661,000723,美锦能源,,,7.01,,11.77,,14.3,,,2.89,20.94,焦炭加工
665,000738,航发控制,,,2.86,,,,4.33,,,3.82,90.01,航空
666,000826,启迪桑德,,,5.26,,,,,,,2.39,26.86,环境保护
668,000839,中信国安,,,3.6,,,,,,,3.99,82.2,综合类
669,000898,鞍钢股份,,,3.98,,,,11.81,6.91,,0.87,7.76,普钢
670,001979,招商蛇口,,,6.03,,6.59,,20.32,,,2.47,13.8,全国地产
671,002024,苏宁易购,,,0.44,,1.02,,5.76,,,1.6,30.04,电器连锁
675,002044,美年健康,,,0.86,,6.36,,,,,10.7,241.55,医疗保健
680,002252,上海莱士,,,5.88,,7.79,,,,,7.74,77.54,生物制药
681,002310,东方园林,,,4.98,,9.04,,,,,5.24,45.35,建筑施工
683,002466,天齐锂业,,,18.07,,26.79,,,,,5.98,29.05,小金属
684,002500,山西证券,,,1.92,,3.06,,,,,1.83,55.9,证券
685,002608,江苏国信,,,5.13,,8.74,,,,,1.67,14.92,火力发电
687,002736,国信证券,,,4.23,,7.04,,,,,1.92,19.64,证券
690,002739,万达电影,,,8.15,,,,,,,5.31,36.25,影视音像
691,002797,第一创业,,,2.18,,,,4.85,,,3.11,65.19,证券
695,002831,裕同科技,,,7.09,,13.64,,,,,4.15,25.47,广告包装
696,300059,东方财富,,,2.01,,3.51,,4.86,,,4.72,108.68,互联网
697,300251,光线传媒,,,5.61,,8.81,,,,,4.83,42.09,影视音像
700,600016,民生银行,,,,,11.52,9.89,14.03,10.12,,0.78,5.79,银行
704,600036,招商银行,,,,,14.0,17.37,16.54,17.69,,1.51,10.37,银行
706,600111,北方稀土,,,,,4.06,,,,,5.56,105.21,小金属
707,600233,圆通速递,,,,,12.31,,,,,4.89,31.24,仓储物流
708,600271,航天信息,,,,,11.8,,16.16,,,4.96,31.25,电脑设备
709,600383,金地集团,,,,,6.13,,,,,1.36,16.62,全国地产
710,600999,招商证券,,,,,6.15,,8.39,,,1.79,19.83,证券
714,601021,春秋航空,,,,,15.14,,,,,2.95,17.9,空运
715,601318,中国平安,,,,,15.7,24.52,,,,2.55,13.53,保险
716,601390,中国中铁,,,,,7.71,,11.25,,,1.18,10.54,建筑施工
718,601857,中国石油,,,,,1.45,,1.9,,,1.15,60.06,石油开采
720,601877,正泰电器,,,,,10.86,,,,,2.92,21.39,电气设备
721,000008,神州高铁,,,,,1.64,,,,,3.0,115.11,运输设备
722,000503,海虹控股,,,,,-11.82,,,,,30.65,0.0,医疗保健
724,000776,广发证券,,,,,7.84,,10.55,,,1.46,14.43,证券
728,002236,大华股份,,,,,16.24,,25.47,,,6.76,29.73,电器仪表
729,002624,完美世界,,,,,14.14,,19.57,,,5.45,28.85,影视音像
730,300122,智飞生物,,,,,10.74,,15.85,,,18.03,122.55,生物制药
731,300144,宋城演艺,,,,,13.52,,15.6,,,4.13,28.33,旅游景点
737,600221,海航控股,,,,,,,5.91,,,1.04,16.44,空运
738,601088,中国神华,,,,,,,14.67,15.16,,1.34,8.96,煤炭开采
740,601328,交通银行,,,,,,,11.4,8.23,,0.74,6.46,银行
741,601555,东吴证券,,,,,,,3.85,,,1.19,31.33,证券
