2018-11-05_code,2018-11-05_days,2018-11-06_code,2018-11-06_days,2018-11-08_code,2018-11-08_days,2018-11-11_code,2018-11-11_days,2018-11-15_code,2018-11-15_days,2018-11-16_code,2018-11-16_days,2018-11-17_code,2018-11-17_days,2018-11-18_code,2018-11-18_days,2018-11-20_code,2018-11-20_days,2018-11-21_code,2018-11-21_days,2018-11-26_code,2018-11-26_days,2018-11-27_code,2018-11-27_days,2018-11-28_code,2018-11-28_days,2018-11-30_code,2018-11-30_days,2018-12-02_code,2018-12-02_days,2018-12-04_code,2018-12-04_days,2018-12-05_code,2018-12-05_days,2018-12-08_code,2018-12-08_days,2018-12-17_code,2018-12-17_days,2018-12-19_code,2018-12-19_days,2018-12-20_code,2018-12-20_days,2018-12-21_code,2018-12-21_days,2018-12-22_code,2018-12-22_days,2018-12-23_code,2018-12-23_days,2018-12-31_code,2018-12-31_days,2019-02-04_code,2019-02-04_days,2019-02-07_code,2019-02-07_days,2019-02-08_code,2019-02-08_days
CROX,1.0,BMA,4.0,FFIN,4.0,,,FRT,1.0,CHMI,3.0,,,,,,,,,,,,,,,,,IYZ,0.0,HBIO,1.0,HAFC,2.0,KURA,1.0,,,,,,,,,,,,,,,NBEV,2.0,GPRK,3,HMY,4.0
NNDM,1.0,BFR,4.0,HWC,4.0,,,GUT,4.0,BZQ,4.0,,,,,,,,,,,,,,,,,KKR,2.0,HHC,0.0,HBIO,2.0,LIFE,3.0,,,,,,,,,,,,,,,NCTY,0.0,GSS,4,HTGC,3.0
GBNK,1.0,LCI,2.0,CATY,4.0,,,IPG,0.0,FAX,1.0,,,,,,,,,,,,,,,,,KW,2.0,IAE,0.0,HHC,1.0,MELI,3.0,,,,,,,,,,,,,,,NEAR,1.0,GSY,2,HUBS,1.0
ISBC,1.0,FRC,2.0,TRMK,4.0,,,HTA,1.0,FTF,3.0,,,,,,,,,,,,,,,,,MAR,2.0,ICLR,3.0,IAE,1.0,MHI,3.0,,,,,,,,,,,,,,,NEM,3.0,HEI,2,ICF,3.0
NBTB,1.0,NLSN,0.0,FFBC,4.0,,,SJIU,4.0,,,,,,,,,,,,,,,,,,,MCO,2.0,ICVT,1.0,ICLR,4.0,MKSI,4.0,,,,,,,,,,,,,,,NEO,3.0,HL,4,ICLR,1.0
BOKF,1.0,UHS,0.0,TCBK,4.0,,,EXTN,1.0,,,,,,,,,,,,,,,,,,,MKSI,0.0,INFY,1.0,ICVT,2.0,MSFT,4.0,,,,,,,,,,,,,,,NLY,4.0,HLT,0,ICVT,1.0
ONB,1.0,SVU,0.0,HAFC,3.0,,,CIM,1.0,,,,,,,,,,,,,,,,,,,MMS,2.0,INSM,3.0,INFY,2.0,MSI,3.0,,,,,,,,,,,,,,,NMIH,1.0,HMY,3,IOVA,1.0
WABC,1.0,ETP,0.0,CSBR,1.0,,,DX,3.0,,,,,,,,,,,,,,,,,,,MSFT,0.0,INSW,2.0,INSM,4.0,MTUM,4.0,,,,,,,,,,,,,,,NWSA,1.0,HTGC,2,IRR,2.0
FFIN,1.0,TMV,1.0,NBTB,4.0,,,OFG,1.0,,,,,,,,,,,,,,,,,,,MTUM,0.0,IPHI,3.0,INSW,3.0,MUA,0.0,,,,,,,,,,,,,,,PCMI,3.0,HUBS,0,ITI,1.0
UBSI,1.0,LH,0.0,PPBI,4.0,,,TCF,1.0,,,,,,,,,,,,,,,,,,,NCOM,0.0,IRWD,3.0,IPHI,4.0,MUC,0.0,,,,,,,,,,,,,,,PGLC,0.0,ICF,2,IVH,3.0
HWC,1.0,SQM,4.0,ANCX,1.0,,,CHMI,1.0,,,,,,,,,,,,,,,,,,,NIE,0.0,IYW,1.0,IRM,0.0,MUI,1.0,,,,,,,,,,,,,,,PML,1.0,ICLR,0,IWS,3.0
GBCI,1.0,INGR,0.0,HFWA,4.0,,,BZQ,2.0,,,,,,,,,,,,,,,,,,,NTEC,0.0,IYZ,1.0,IRWD,4.0,NAD,2.0,,,,,,,,,,,,,,,PSLV,2.0,ICVT,0,IYR,3.0
IBOC,1.0,PF,0.0,MHLD,4.0,,,FAX,4.0,,,,,,,,,,,,,,,,,,,OKTA,2.0,KKR,3.0,IYW,2.0,NCOM,4.0,,,,,,,,,,,,,,,RDFN,1.0,IOVA,0,JBL,3.0
UCBI,1.0,DECK,2.0,VCTR,2.0,,,DHY,3.0,,,,,,,,,,,,,,,,,,,ORBC,2.0,KW,3.0,IYZ,2.0,NEA,2.0,,,,,,,,,,,,,,,RDNT,2.0,IRR,1,JFR,3.0
CVBF,1.0,TOWR,2.0,STML,1.0,,,FTF,1.0,,,,,,,,,,,,,,,,,,,PBI,0.0,LIFE,0.0,KKR,4.0,NIE,4.0,,,,,,,,,,,,,,,RLGY,1.0,ITI,0,JPI,3.0
CATY,1.0,SMP,2.0,RUSL,0.0,,,LTS,4.0,,,,,,,,,,,,,,,,,,,PCAR,0.0,MAR,3.0,KW,4.0,NLSN,3.0,,,,,,,,,,,,,,,SA,2.0,IVH,2,JRO,4.0
QABA,1.0,TBF,1.0,SQ,1.0,,,,,,,,,,,,,,,,,,,,,,,PCTY,2.0,MCO,3.0,LIFE,1.0,NQP,2.0,,,,,,,,,,,,,,,SATS,1.0,IWS,2,JRS,3.0
TBRG,2.0,SWN,0.0,HPE,0.0,,,,,,,,,,,,,,,,,,,,,,,PLNT,2.0,MELI,0.0,MAR,4.0,NSA,1.0,,,,,,,,,,,,,,,SBRA,2.0,IYR,2,KEYS,1.0
BIL,2.0,BKD,2.0,YPF,0.0,,,,,,,,,,,,,,,,,,,,,,,PMF,0.0,MHI,0.0,MCO,4.0,NTEC,4.0,,,,,,,,,,,,,,,SCWX,2.0,JBL,2,KEYW,3.0
JDST,2.0,PHB,0.0,JMEI,0.0,,,,,,,,,,,,,,,,,,,,,,,PSDO,0.0,MKSI,1.0,MELI,1.0,PBI,4.0,,,,,,,,,,,,,,,SDIV,2.0,JFR,2,KW,3.0
ZUMZ,3.0,SHV,4.0,LCI,4.0,,,,,,,,,,,,,,,,,,,,,,,QTEC,0.0,MMS,3.0,MHI,1.0,PCAR,4.0,,,,,,,,,,,,,,,SNAP,0.0,JOE,4,KXI,3.0
NDAQ,3.0,BIL,3.0,FN,1.0,,,,,,,,,,,,,,,,,,,,,,,RCKT,1.0,MSFT,1.0,MKSI,2.0,PMF,4.0,,,,,,,,,,,,,,,SNP,2.0,JPI,2,LC,1.0
CHMI,3.0,MCY,2.0,NGVT,1.0,,,,,,,,,,,,,,,,,,,,,,,RCS,0.0,MSI,0.0,MMS,4.0,PMX,0.0,,,,,,,,,,,,,,,SNR,3.0,JRO,3,LDL,2.0
ARGO,3.0,JDST,3.0,RSX,0.0,,,,,,,,,,,,,,,,,,,,,,,RDVY,0.0,MTUM,1.0,MSFT,2.0,PODD,3.0,,,,,,,,,,,,,,,SSRM,0.0,JRS,2,LEG,2.0
BMA,3.0,CBRE,2.0,FRC,4.0,,,,,,,,,,,,,,,,,,,,,,,REGN,0.0,NCOM,1.0,MSI,1.0,PSDO,4.0,,,,,,,,,,,,,,,SSTI,1.0,KEYS,0,LMBS,0.0
BFR,3.0,HCP,0.0,ERUS,0.0,,,,,,,,,,,,,,,,,,,,,,,RNG,2.0,NIE,1.0,MTUM,2.0,QRTEA,3.0,,,,,,,,,,,,,,,SVM,3.0,KEYW,2,LMNX,3.0
SQM,3.0,NXE,0.0,KRO,1.0,,,,,,,,,,,,,,,,,,,,,,,RNP,2.0,NLSN,0.0,NAD,0.0,QTEC,4.0,,,,,,,,,,,,,,,SXI,3.0,KTOS,4,LODE,4.0
BEDU,3.0,SHO,2.0,EVTC,0.0,,,,,,,,,,,,,,,,,,,,,,,ROM,0.0,NTEC,1.0,NCOM,2.0,RCS,4.0,,,,,,,,,,,,,,,TAN,2.0,KW,2,MAR,3.0
SHV,3.0,LHO,2.0,PDI,1.0,,,,,,,,,,,,,,,,,,,,,,,RWGE,3.0,OKTA,3.0,NEA,0.0,RDVY,4.0,,,,,,,,,,,,,,,TCS,3.0,KXI,2,MBIO,3.0
CHS,4.0,BANC,0.0,NLSN,2.0,,,,,,,,,,,,,,,,,,,,,,,RYT,0.0,ORBC,3.0,NIE,2.0,REGN,4.0,,,,,,,,,,,,,,,TWO,3.0,LC,0,MCC,3.0
CAL,4.0,MYE,2.0,UHS,2.0,,,,,,,,,,,,,,,,,,,,,,,SCHK,0.0,PBI,1.0,NLSN,1.0,REM,3.0,,,,,,,,,,,,,,,VAC,1.0,LDL,1,MDLZ,3.0
,,PEB,2.0,SVU,0.0,,,,,,,,,,,,,,,,,,,,,,,SKYY,0.0,PCAR,1.0,NQP,0.0,ROM,4.0,,,,,,,,,,,,,,,VAR,2.0,LEG,1,MHD,4.0
,,DVA,0.0,JE,0.0,,,,,,,,,,,,,,,,,,,,,,,SPHQ,0.0,PCTY,3.0,NTEC,2.0,RYT,4.0,,,,,,,,,,,,,,,VNM,2.0,LMNX,2,MPLX,4.0
,,CHMI,4.0,PX,0.0,,,,,,,,,,,,,,,,,,,,,,,SYNH,2.0,PLNT,3.0,OKTA,4.0,SBI,2.0,,,,,,,,,,,,,,,WMGI,2.0,LODE,3,MYD,1.0
,,KRE,2.0,MC,1.0,,,,,,,,,,,,,,,,,,,,,,,TCBK,0.0,PMF,1.0,ORBC,4.0,SCHK,4.0,,,,,,,,,,,,,,,WSR,1.0,MAR,2,NCTY,4.0
,,BXS,2.0,GAB,1.0,,,,,,,,,,,,,,,,,,,,,,,TCPC,2.0,PMX,0.0,PBI,2.0,SFL,3.0,,,,,,,,,,,,,,,WYNN,2.0,MBIO,2,NCV,3.0
,,KBWR,2.0,ETP,0.0,,,,,,,,,,,,,,,,,,,,,,,TDIV,0.0,PODD,0.0,PCAR,2.0,SKYY,4.0,,,,,,,,,,,,,,,YRCW,2.0,MCC,2,NICE,2.0
,,GWB,2.0,TMV,3.0,,,,,,,,,,,,,,,,,,,,,,,TERP,1.0,PSDO,1.0,PCTY,4.0,SPHQ,4.0,,,,,,,,,,,,,,,,,MDLZ,2,NLNK,1.0
,,BOH,2.0,GDOT,1.0,,,,,,,,,,,,,,,,,,,,,,,THRM,2.0,QRTEA,0.0,PLNT,4.0,TCBK,4.0,,,,,,,,,,,,,,,,,MHD,3,NOBL,3.0
,,CBU,2.0,NRG,0.0,,,,,,,,,,,,,,,,,,,,,,,USMV,0.0,QTEC,1.0,PMF,2.0,TDG,3.0,,,,,,,,,,,,,,,,,MPLX,3,NRO,3.0
,,RF,0.0,ETV,1.0,,,,,,,,,,,,,,,,,,,,,,,VAR,0.0,RCKT,2.0,PMX,1.0,TDIV,4.0,,,,,,,,,,,,,,,,,MYD,0,NRZ,3.0
,,NYCB,2.0,LH,2.0,,,,,,,,,,,,,,,,,,,,,,,VGT,0.0,RCS,1.0,PODD,1.0,TDOC,3.0,,,,,,,,,,,,,,,,,NCTY,3,NWHM,1.0
,,PB,2.0,INGR,2.0,,,,,,,,,,,,,,,,,,,,,,,VRNS,2.0,RDVY,1.0,PSDO,2.0,TRVN,1.0,,,,,,,,,,,,,,,,,NCV,2,NWPX,3.0
,,ARR,2.0,PF,0.0,,,,,,,,,,,,,,,,,,,,,,,VSM,2.0,REGN,1.0,QRTEA,1.0,TSRO,2.0,,,,,,,,,,,,,,,,,NEAR,4,NXEO,3.0
,,FNB,2.0,DS,1.0,,,,,,,,,,,,,,,,,,,,,,,W,2.0,REM,0.0,QTEC,2.0,UNH,3.0,,,,,,,,,,,,,,,,,NICE,1,O,3.0
,,CSU,0.0,DECK,4.0,,,,,,,,,,,,,,,,,,,,,,,WCN,0.0,RNG,3.0,RCKT,3.0,USMV,4.0,,,,,,,,,,,,,,,,,NLNK,0,PCTY,1.0
,,SALT,2.0,TOWR,4.0,,,,,,,,,,,,,,,,,,,,,,,WK,2.0,RNP,3.0,RCS,2.0,VAR,4.0,,,,,,,,,,,,,,,,,NMIH,4,PFLT,3.0
,,FLCA,0.0,SMP,4.0,,,,,,,,,,,,,,,,,,,,,,,WTW,2.0,ROM,1.0,RDVY,2.0,VCRA,3.0,,,,,,,,,,,,,,,,,NOBL,2,PGLC,4.0
,,,,AJRD,1.0,,,,,,,,,,,,,,,,,,,,,,,XLK,0.0,RWGE,4.0,REGN,2.0,VGT,4.0,,,,,,,,,,,,,,,,,NRO,2,PHB,3.0
,,,,RS,1.0,,,,,,,,,,,,,,,,,,,,,,,ZIOP,2.0,RYT,1.0,REM,1.0,VNDA,1.0,,,,,,,,,,,,,,,,,NRZ,2,PKI,3.0
,,,,PML,0.0,,,,,,,,,,,,,,,,,,,,,,,,,SCHK,1.0,RNG,4.0,VTN,0.0,,,,,,,,,,,,,,,,,NWHM,0,PMX,3.0
,,,,TBF,3.0,,,,,,,,,,,,,,,,,,,,,,,,,SFL,0.0,RNP,4.0,WBA,3.0,,,,,,,,,,,,,,,,,NWPX,2,PWV,3.0
,,,,SWN,2.0,,,,,,,,,,,,,,,,,,,,,,,,,SKYY,1.0,ROM,2.0,WCN,4.0,,,,,,,,,,,,,,,,,NWSA,4,QTT,2.0
,,,,BKD,4.0,,,,,,,,,,,,,,,,,,,,,,,,,SPHQ,1.0,RYT,2.0,XLK,4.0,,,,,,,,,,,,,,,,,NXEO,2,RDIV,3.0
,,,,PHB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,SYNH,3.0,SBI,0.0,ZTR,3.0,,,,,,,,,,,,,,,,,O,2,RMT,1.0
,,,,URA,0.0,,,,,,,,,,,,,,,,,,,,,,,,,TCBK,1.0,SCHK,2.0,,,,,,,,,,,,,,,,,,,PCTY,0,RNST,0.0
,,,,VST,0.0,,,,,,,,,,,,,,,,,,,,,,,,,TCPC,3.0,SFL,1.0,,,,,,,,,,,,,,,,,,,PFLT,2,RPT,3.0
,,,,MCY,4.0,,,,,,,,,,,,,,,,,,,,,,,,,TDG,0.0,SKYY,2.0,,,,,,,,,,,,,,,,,,,PGLC,3,RSX,3.0
,,,,CBRE,4.0,,,,,,,,,,,,,,,,,,,,,,,,,TDIV,1.0,SPHQ,2.0,,,,,,,,,,,,,,,,,,,PHB,2,RVT,3.0
,,,,NQP,0.0,,,,,,,,,,,,,,,,,,,,,,,,,TDOC,0.0,SYNH,4.0,,,,,,,,,,,,,,,,,,,PKI,2,RWGE,0.0
,,,,HCP,2.0,,,,,,,,,,,,,,,,,,,,,,,,,TERP,2.0,TCBK,2.0,,,,,,,,,,,,,,,,,,,PML,4,RWR,3.0
,,,,NXE,2.0,,,,,,,,,,,,,,,,,,,,,,,,,THRM,3.0,TCPC,4.0,,,,,,,,,,,,,,,,,,,PMX,2,SBGL,0.0
,,,,SHO,4.0,,,,,,,,,,,,,,,,,,,,,,,,,UNH,0.0,TDG,1.0,,,,,,,,,,,,,,,,,,,PWV,2,SCL,3.0
,,,,ELF,0.0,,,,,,,,,,,,,,,,,,,,,,,,,USMV,1.0,TDIV,2.0,,,,,,,,,,,,,,,,,,,QTT,1,SCM,3.0
,,,,RBC,0.0,,,,,,,,,,,,,,,,,,,,,,,,,VAR,1.0,TDOC,1.0,,,,,,,,,,,,,,,,,,,RDFN,4,SDY,3.0
,,,,LHO,4.0,,,,,,,,,,,,,,,,,,,,,,,,,VCRA,0.0,TERP,3.0,,,,,,,,,,,,,,,,,,,RDIV,2,SLG,3.0
,,,,MORL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,VGT,1.0,THRM,4.0,,,,,,,,,,,,,,,,,,,RLGY,4,SMAR,3.0
,,,,BANC,2.0,,,,,,,,,,,,,,,,,,,,,,,,,VRNS,3.0,TSRO,0.0,,,,,,,,,,,,,,,,,,,RMT,0,SNAP,4.0
,,,,MYE,4.0,,,,,,,,,,,,,,,,,,,,,,,,,VSM,3.0,UNH,1.0,,,,,,,,,,,,,,,,,,,RPT,2,SNDX,2.0
,,,,CYH,1.0,,,,,,,,,,,,,,,,,,,,,,,,,W,3.0,USMV,2.0,,,,,,,,,,,,,,,,,,,RSX,2,SPMD,3.0
,,,,LBRT,0.0,,,,,,,,,,,,,,,,,,,,,,,,,WBA,0.0,VAR,2.0,,,,,,,,,,,,,,,,,,,RVT,2,SPYV,3.0
,,,,PEB,4.0,,,,,,,,,,,,,,,,,,,,,,,,,WCN,1.0,VCRA,1.0,,,,,,,,,,,,,,,,,,,RWR,2,SSRM,4.0
,,,,DVA,2.0,,,,,,,,,,,,,,,,,,,,,,,,,WK,3.0,VGT,2.0,,,,,,,,,,,,,,,,,,,SATS,4,STWD,3.0
,,,,SF,1.0,,,,,,,,,,,,,,,,,,,,,,,,,WTW,3.0,VRNS,4.0,,,,,,,,,,,,,,,,,,,SCL,2,SYN,2.0
,,,,KRE,4.0,,,,,,,,,,,,,,,,,,,,,,,,,XLK,1.0,VSM,4.0,,,,,,,,,,,,,,,,,,,SCM,2,SYNH,3.0
,,,,BXS,4.0,,,,,,,,,,,,,,,,,,,,,,,,,ZIOP,3.0,W,4.0,,,,,,,,,,,,,,,,,,,SDY,2,TD,3.0
,,,,KBWR,4.0,,,,,,,,,,,,,,,,,,,,,,,,,ZTR,0.0,WBA,1.0,,,,,,,,,,,,,,,,,,,SLG,2,TDG,1.0
,,,,GWB,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,WCN,2.0,,,,,,,,,,,,,,,,,,,SMAR,2,TTEC,1.0
,,,,BOH,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,WK,4.0,,,,,,,,,,,,,,,,,,,SNAP,3,USMV,3.0
,,,,CBU,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,WTW,4.0,,,,,,,,,,,,,,,,,,,SNDX,1,UTG,3.0
,,,,RF,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,XLK,2.0,,,,,,,,,,,,,,,,,,,SPMD,2,VDC,3.0
,,,,NYCB,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,ZIOP,4.0,,,,,,,,,,,,,,,,,,,SPYV,2,VER,3.0
,,,,PB,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTR,1.0,,,,,,,,,,,,,,,,,,,SSRM,3,VIG,3.0
,,,,ARR,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSTI,4,VRP,1.0
,,,,FNB,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STWD,2,VTV,3.0
,,,,BGG,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYN,1,WDC,1.0
,,,,CSU,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYNH,2,WEX,1.0
,,,,SALT,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TD,2,WLTW,2.0
,,,,DHY,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TDG,0,WTS,3.0
,,,,FLCA,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TTEC,0,WY,2.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USMV,2,XHB,3.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UTG,2,XONE,3.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VAC,4,XSLV,3.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VDC,2,ZTS,2.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VER,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VIG,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VRP,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VTV,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WDC,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WEX,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WLTW,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WSR,4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WTS,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WY,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XHB,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XONE,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XSLV,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTS,1,,
