,close,high,low,open,time,volume,close_pre_tmp,month_grow_tmp,month_grow,month_rs
46,9.34,9.5,7.75,8.0,2019-03-01,540769,7.93,0.17780580075662045,0.004256829757678643,0.17354897099894182
45,7.93,10.7,5.94,6.66,2019-02-01,3890602,6.6,0.20151515151515154,0.03665368382862661,0.16486146768652493
44,6.6,6.63,4.78,5.01,2019-01-01,1989138,5.08,0.29921259842519676,0.07168418679101793,0.22752841163417883
43,5.08,6.5,4.1,4.5,2018-12-01,2789948,4.48,0.13392857142857134,-0.08657530642019919,0.2205038778487705
42,4.48,4.5,3.51,3.7,2018-11-01,809264,3.9,0.14871794871794886,0.01683007004366982,0.13188787867427904
41,3.9,3.94,3.1101,3.29,2018-10-01,1738866,3.18,0.22641509433962256,-0.050742091993026116,0.2771571863326487
40,3.18,4.1,2.13,4.04,2018-09-01,3404271,4.04,-0.21287128712871284,0.019006101332495338,-0.23187738846120817
39,4.04,4.62,3.695,4.39,2018-08-01,1067950,4.42,-0.085972850678733,0.021626043322910474,-0.10759889400164348
38,4.42,4.79,4.21,4.49,2018-07-01,508899,4.48,-0.013392857142857253,0.047124579906976924,-0.06051743704983418
37,4.48,4.6,3.92,4.3,2018-06-01,3122524,4.3,0.041860465116279215,-0.005915422119411018,0.047775887235690234
36,4.3,4.84,4.12,4.83,2018-05-01,837001,4.81,-0.106029106029106,0.010457659700825376,-0.11648676572993137
35,4.81,5.8,4.55,5.4,2018-04-01,1030053,5.35,-0.10093457943925235,0.0024909648588916896,-0.10342554429814405
34,5.35,5.4,4.35,4.86,2018-03-01,1466415,4.82,0.10995850622406625,-0.037000383552011254,0.14695888977607752
33,4.82,4.95,3.78,4.89,2018-02-01,1239542,4.92,-0.020325203252032447,-0.042838092972723216,0.02251288972069077
32,4.92,5.3479,3.96,3.99,2018-01-01,2119902,3.94,0.24873096446700507,0.05785659903508275,0.19087436543192232
31,3.94,4.7,3.81,4.21,2017-12-01,2655595,4.22,-0.0663507109004739,0.01841066069004454,-0.08476137159051844
30,4.22,4.48,3.75,4.23,2017-11-01,1474388,4.26,-0.009389671361502356,0.03828980666665513,-0.04767947802815749
29,4.26,5.11,3.96,4.35,2017-10-01,2212488,4.37,-0.02517162471395888,0.043389694038274404,-0.06856131875223329
28,4.37,5.4,4.06,5.14,2017-09-01,1952237,5.12,-0.146484375,0.02082139228452584,-0.16730576728452584
27,5.12,5.4,3.55,4.59,2017-08-01,2376712,4.59,0.1154684095860567,0.0026028818991444733,0.11286552768691223
26,4.59,5.74,4.5,4.5,2017-07-01,3067079,4.7,-0.023404255319149005,0.025362968819600054,-0.04876722413874906
25,4.7,11.85,2.77,7.5,2017-06-01,23696795,7.37,-0.36227951153324284,0.016230457454429463,-0.3785099689876723
24,7.37,11.15,7.32,10.87,2017-05-01,2575568,10.88,-0.3226102941176471,0.003253979965149037,-0.3258642740827961
23,10.88,18.057,9.8,16.5,2017-04-01,5143607,16.49,-0.3402061855670102,0.013419496090154255,-0.35362568165716446
22,16.49,20.18,13.25,13.6,2017-03-01,3731003,13.49,0.22238695329873967,-0.007160209568984425,0.22954716286772409
21,13.49,13.5,10.92,11.4,2017-02-01,1611022,11.4,0.18333333333333332,0.04773186186731944,0.13560147146601387
20,11.4,12.45,9.36,10.27,2017-01-01,2233696,10.12,0.1264822134387353,0.005135457885096172,0.12134675555363914
19,10.12,15.0,8.58,13.89,2016-12-01,5445263,13.99,-0.27662616154396,0.033415291488309025,-0.31004145303226904
18,13.99,17.03,11.69,13.24,2016-11-01,2936566,13.25,0.0558490566037736,0.054080988093099136,0.0017680685106744656
17,13.25,16.1499,13.0,13.64,2016-10-01,1845623,13.46,-0.01560178306092131,-0.00905225268527968,-0.00654953037564163
16,13.46,15.0,12.5701,13.18,2016-09-01,2585433,12.98,0.036979969183359045,-0.005039432896687525,0.04201940208004657
15,12.98,16.774,12.5,14.16,2016-08-01,3719682,14.27,-0.0903994393833216,-0.0017013667356762163,-0.08869807264764538
14,14.27,25.0,12.5,21.5,2016-07-01,17604918,20.92,-0.3178776290630976,0.028011727836992656,-0.34588935690009026
13,20.92,21.4,15.43,15.74,2016-06-01,7539784,15.4,0.3584415584415585,0.008027682828101155,0.3504138756134573
12,15.4,15.65,11.625,12.75,2016-05-01,2724886,12.75,0.207843137254902,0.0007629275713923152,0.20708020968350968
11,12.75,15.0,9.17,9.64,2016-04-01,2873333,9.45,0.3492063492063493,0.00500704265570598,0.3441993065506433
10,9.45,10.9899,7.415,7.69,2016-03-01,1869309,7.66,0.23368146214099206,0.07075288348015622,0.16292857866083582
9,7.66,8.47,7.09,8.3,2016-02-01,1169668,8.25,-0.0715151515151515,0.0030486508808901048,-0.07456380239604161
8,8.25,10.81,6.36,10.62,2016-01-01,2367723,10.87,-0.24103035878564852,-0.05502027830081209,-0.18601008048483642
7,10.87,16.68,7.365,7.5,2015-12-01,9876087,7.47,0.4551539491298527,-0.016641722987462665,0.4717956721173153
6,7.47,15.0,7.17,15.0,2015-11-01,2488807,14.18,-0.47320169252468264,0.003191885658254086,-0.4763935781829367
5,14.18,18.2,13.6,16.4,2015-10-01,1580407,14.94,-0.05087014725568941,0.084670887397373,-0.13554103465306241
4,14.94,19.2,14.8,18.88,2015-09-01,1154620,19.18,-0.2210636079249218,-0.014722262725805684,-0.20634134519911612
3,19.18,19.75,13.64,18.55,2015-08-01,2226800,18.65,0.028418230563002744,-0.06567773854626333,0.09409596910926607
2,18.65,21.8,15.01,18.37,2015-07-01,2572900,18.08,0.03152654867256639,0.003992733055573179,0.027533815616993213
1,18.08,22.82,17.9,19.29,2015-06-01,2848900,19.12,-0.05439330543933068,-0.021718780190420454,-0.03267452524891022
0,19.12,22.9,17.06,18.71,2015-05-01,3562000,,,0.009537838583180303,
