close,high,time,low,open,t,volumne
0.95,1.44,1487653200,0.85,1.44,285829956,310886
0.48,0.984,1487739600,0.246,0.984,310455415,692690
0.705,0.77,1487826000,0.461,0.54,157019534,270508
0.8,0.85,1487912400,0.6,0.66,52698563,70632
0.691,0.718,1488171600,0.691,0.718,2086601,2970
0.75,0.761,1488258000,0.6,0.61,38658737,52349
0.85,0.95,1488344400,0.74,0.74,61877235,71028
0.8,0.9,1488430800,0.8,0.88,4276988,5130
0.85,0.85,1488517200,0.3,0.3,6161998,8032
0.67,0.8,1488776400,0.63,0.8,19706381,29700
0.66,1.0,1488862800,0.66,0.821,2048609,2600
0.63,0.715,1488949200,0.63,0.715,1720575,2550
0.69,0.69,1489035600,0.67,0.68,1369000,2000
0.587,0.708,1489122000,0.5,0.708,2100409,3800
0.601,0.665,1489377600,0.6,0.602,1612038,2508
0.667,0.667,1489464000,0.667,0.667,266760,400
0.667,0.667,1489550400,0.58,0.667,7484291,12390
0.609,0.619,1489636800,0.609,0.619,675455,1100
0.649,0.65,1489723200,0.6,0.65,986826,1596
0.55,0.65,1489982400,0.523,0.65,9965310,16447
0.643,0.7,1490068800,0.55,0.55,4185019,6605
0.7,0.7,1490155200,0.648,0.65,2377929,3509
0.64,0.65,1490241600,0.6,0.642,2389284,3725
0.67,0.7,1490587200,0.67,0.675,3393579,4985
0.7,0.75,1490673600,0.6,0.75,7264992,10714
0.65,0.674,1490760000,0.63,0.674,3054750,4700
0.74,0.75,1490846400,0.725,0.75,12097096,16400
0.75,0.75,1490932800,0.75,0.75,77240,103
0.75,0.75,1491278400,0.75,0.75,74990,100
0.65,0.65,1491364800,0.65,0.65,1953250,3005
0.65,0.65,1491537600,0.65,0.65,6499999,10000
0.7,0.75,1491796800,0.7,0.75,4388563,5885
0.6,0.6,1491883200,0.6,0.6,516000,860
0.66,0.7,1491969600,0.66,0.7,2045740,3022
0.598,0.598,1492401600,0.574,0.598,177000,300
0.6,0.6,1492488000,0.6,0.6,300000,500
0.65,0.7,1493006400,0.65,0.7,1265990,1940
0.55,0.55,1493092800,0.55,0.55,0,0
0.52,0.559,1493179200,0.52,0.52,2935839,5601
0.52,0.52,1493265600,0.52,0.52,1143600,2200
0.521,0.521,1493956800,0.521,0.521,233184,448
0.547,0.548,1494216000,0.547,0.548,1204390,2200
0.605,0.605,1494302400,0.605,0.605,354530,586
0.63,0.65,1494388800,0.61,0.61,4890073,7824
0.63,0.63,1494475200,0.63,0.63,80010,127
0.51,0.578,1494561600,0.471,0.471,15875273,31105
0.5,0.501,1494820800,0.5,0.501,4459002,8914
0.657,0.778,1494993600,0.65,0.66,35758532,49990
0.556,0.703,1495080000,0.556,0.69,2523774,3691
0.5,0.574,1495166400,0.36,0.37,1469472,3008
0.5,0.51,1495425600,0.5,0.51,213220,420
0.5,0.55,1495598400,0.5,0.501,4763098,9352
0.56,0.6,1495684800,0.56,0.6,1717860,2916
0.573,0.573,1496203200,0.572,0.572,499668,873
0.593,0.6,1496376000,0.548,0.599,17337956,29221
0.597,0.597,1496635200,0.53,0.593,3186596,5381
0.6,0.6,1496980800,0.597,0.6,3601076,6016
0.58,0.58,1497326400,0.55,0.554,2604180,4557
0.55,0.55,1497412800,0.55,0.55,1097250,1995
0.52,0.55,1497499200,0.52,0.55,1774373,3400
0.51,0.51,1497931200,0.509,0.509,23295115,45677
0.75,0.75,1498449600,0.6,0.6,1416192,2099
0.7,0.7,1498536000,0.7,0.7,181300,259
0.66,0.66,1498622400,0.66,0.66,1947000,2950
0.55,0.55,1499313600,0.55,0.55,786500,1430
0.41,0.578,1499918400,0.41,0.578,1639837,3523
0.56,0.56,1500004800,0.56,0.56,2324560,4151
0.56,0.56,1500264000,0.56,0.56,1740,3
0.56,0.56,1500350400,0.56,0.56,5500,11
0.56,0.56,1500523200,0.56,0.56,1100,2
0.5,0.5,1500609600,0.5,0.5,200500,401
0.58,0.58,1500868800,0.55,0.55,2324641,4088
0.45,0.609,1500955200,0.448,0.609,39040810,83867
0.45,0.45,1501041600,0.45,0.45,18316800,40704
0.43,0.45,1501128000,0.42,0.45,11245475,25965
0.43,0.43,1501214400,0.43,0.43,396,75
0.41,0.45,1501473600,0.41,0.45,512739,1151
0.48,0.48,1501560000,0.391,0.456,5469549,12548
0.54,0.58,1501646400,0.46,0.46,11910056,21629
0.52,0.57,1501732800,0.52,0.57,2341683,4150
0.5,0.546,1501819200,0.5,0.546,426868,809
0.42,0.45,1502078400,0.35,0.35,2159566,4861
0.47,0.477,1502164800,0.457,0.457,8828532,18920
0.453,0.489,1502251200,0.45,0.489,1910193,4207
0.439,0.439,1502337600,0.439,0.439,828266,1888
0.549,0.55,1502424000,0.45,0.45,6873346,13267
0.46,0.46,1502683200,0.45,0.45,758869,1661
0.49,0.496,1502769600,0.49,0.496,1631316,3300
0.46,0.46,1502856000,0.46,0.46,1840000,4000
0.41,0.46,1502942400,0.35,0.46,6723996,15900
0.36,0.51,1503028800,0.36,0.5,10184018,25200
0.4,0.4,1503288000,0.4,0.4,0,0
0.4,0.4,1503374400,0.4,0.4,450,1
0.39,0.4,1503460800,0.37,0.37,1920199,5000
0.43,0.43,1503547200,0.388,0.4,5176593,12148
0.45,0.45,1503633600,0.45,0.45,0,0
0.45,0.45,1504152000,0.45,0.45,0,0
0.45,0.45,1504238400,0.45,0.45,1200,4
0.4,0.4,1504584000,0.4,0.4,40000,100
0.48,0.55,1504670400,0.48,0.5,2254248,4446
0.46,0.48,1504756800,0.46,0.48,1870477,3995
0.46,0.47,1504843200,0.4,0.47,1753665,3815
0.48,0.48,1505102400,0.48,0.48,0,0
0.55,0.567,1505448000,0.5,0.5,10185580,19128
0.486,0.51,1505707200,0.469,0.51,4082227,8505
0.455,0.455,1505793600,0.455,0.455,0,0
0.4,0.4,1506312000,0.4,0.4,0,0
0.34,0.34,1506484800,0.34,0.34,0,0
0.4,0.4,1506657600,0.35,0.35,1872900,5000
0.37,0.37,1506916800,0.37,0.37,0,0
0.25,0.26,1507003200,0.25,0.25,153000,600
0.35,0.35,1507089600,0.35,0.35,0,0
0.35,0.35,1507521600,0.35,0.35,1470,4
0.37,0.37,1507780800,0.37,0.37,0,0
0.37,0.37,1508212800,0.37,0.37,0,0
0.36,0.36,1508385600,0.36,0.36,0,0
0.36,0.36,1508731200,0.36,0.36,648100,1800
0.4,0.4,1508817600,0.4,0.4,0,0
0.36,0.36,1508990400,0.36,0.36,0,0
0.369,0.369,1509336000,0.369,0.369,1105923,3000
0.368,0.368,1509422400,0.368,0.368,0,0
0.36,0.36,1509508800,0.36,0.36,20160,56
0.36,0.36,1509681600,0.36,0.36,0,0
0.38,0.38,1510030800,0.38,0.38,0,0
0.38,0.38,1510549200,0.38,0.38,0,0
0.33,0.34,1510722000,0.33,0.34,1137160,3400
0.31,0.316,1510808400,0.31,0.316,378200,1200
0.3,0.333,1510894800,0.3,0.31,3015250,9800
0.3,0.3,1511154000,0.3,0.3,0,0
0.21,0.21,1511326800,0.21,0.21,0,0
0.4,0.4,1511845200,0.286,0.4,445400,1400
0.225,0.225,1511931600,0.225,0.225,0,0
0.23,0.23,1512363600,0.223,0.223,545170,2400
0.266,0.266,1512450000,0.25,0.25,4811801,19050
0.21,0.21,1512536400,0.21,0.21,44142,210
0.22,0.22,1512622800,0.21,0.21,1289240,5900
0.259,0.26,1512709200,0.249,0.25,2183672,8700
0.27,0.27,1512968400,0.21,0.26,7677732,30354
0.28,0.28,1513054800,0.28,0.28,1399800,5000
0.28,0.28,1513141200,0.28,0.28,16114,70
0.355,0.375,1513227600,0.21,0.22,1033779,4047
0.3,0.3,1513573200,0.3,0.3,2579790,8600
0.3,0.3,1513659600,0.27,0.27,2997622,10387
0.3,0.3,1513832400,0.3,0.3,149975,500
0.25,0.25,1514264400,0.25,0.25,31550,126
0.33,0.395,1514350800,0.25,0.25,5307501,18075
0.269,0.269,1514437200,0.269,0.269,269738,1002
0.26,0.26,1514523600,0.26,0.26,130050,500
0.26,0.26,1514869200,0.26,0.26,8439,30
0.26,0.26,1514955600,0.26,0.26,1398038,5375
0.278,0.28,1515387600,0.278,0.28,419000,1500
0.3,0.38,1515560400,0.3,0.3,6058001,18500
0.38,0.38,1515646800,0.38,0.38,75920,200
0.27,0.27,1515733200,0.27,0.27,565049,2092
0.322,0.322,1516683600,0.322,0.322,32202,100
0.35,0.4,1516770000,0.35,0.4,6605921,17262
0.37,0.37,1516856400,0.368,0.37,4252600,11500
0.37,0.47,1516942800,0.37,0.37,8462753,21464
0.37,0.37,1517202000,0.37,0.37,0,0
0.37,0.38,1517288400,0.337,0.34,45822230,125477
0.37,0.38,1517374800,0.37,0.38,7301525,19700
0.37,0.37,1517461200,0.37,0.37,0,0
0.336,0.34,1517547600,0.336,0.34,169200,500
0.33,0.33,1517806800,0.33,0.33,66000,200
0.33,0.33,1517893200,0.33,0.33,0,0
0.33,0.33,1517979600,0.33,0.33,0,0
0.33,0.33,1518066000,0.33,0.33,0,0
0.348,0.348,1518152400,0.34,0.34,884810,2600
0.39,0.39,1518411600,0.39,0.39,195000,500
0.39,0.39,1518498000,0.39,0.39,0,0
0.32,0.341,1518584400,0.32,0.33,4907130,15284
0.394,0.394,1518670800,0.39,0.39,235170,600
0.394,0.394,1518757200,0.394,0.394,0,0
0.394,0.394,1519102800,0.394,0.394,0,0
0.394,0.394,1519189200,0.394,0.394,0,0
0.394,0.394,1519275600,0.394,0.394,0,0
0.261,0.261,1519362000,0.261,0.261,78671,302
0.26,0.27,1519621200,0.26,0.26,4869140,18700
0.26,0.26,1519707600,0.26,0.26,0,0
0.28,0.28,1519794000,0.28,0.28,3080450,11000
0.285,0.3,1519880400,0.281,0.281,3537050,12300
0.285,0.285,1519966800,0.285,0.285,0,0
0.26,0.353,1520226000,0.255,0.33,7825457,26000
0.26,0.26,1520312400,0.26,0.26,0,0
0.3,0.338,1520398800,0.3,0.338,2897990,9400
0.3,0.3,1520485200,0.3,0.3,0,0
0.3,0.3,1520571600,0.3,0.3,0,0
0.26,0.26,1520827200,0.26,0.26,520000,2000
0.26,0.26,1520913600,0.26,0.26,0,0
0.26,0.26,1521000000,0.26,0.26,0,0
0.26,0.26,1521086400,0.26,0.26,0,0
0.35,0.35,1521172800,0.35,0.35,1050000,3000
0.35,0.35,1521432000,0.35,0.35,0,0
0.35,0.35,1521518400,0.34,0.34,3996415,11450
0.35,0.35,1521604800,0.35,0.35,0,0
0.35,0.35,1521691200,0.35,0.35,0,0
0.35,0.353,1521777600,0.35,0.35,7567602,21500
0.29,0.29,1522036800,0.29,0.29,58000,200
0.29,0.29,1522123200,0.29,0.29,0,0
0.33,0.33,1522209600,0.31,0.31,1600000,5000
0.33,0.33,1522296000,0.33,0.33,0,0
0.33,0.33,1522641600,0.33,0.33,0,0
0.419,0.42,1522728000,0.409,0.41,835000,2000
0.41,0.41,1522814400,0.4,0.4,408000,1000
0.35,0.41,1522900800,0.34,0.41,2332404,6630
0.33,0.33,1522987200,0.33,0.33,330000,1000
0.33,0.33,1523246400,0.33,0.33,0,0
0.43,0.43,1523332800,0.353,0.353,1247658,3300
0.43,0.43,1523419200,0.43,0.43,0,0
0.35,0.35,1523505600,0.35,0.35,700000,2000
0.37,0.37,1523592000,0.352,0.352,1904710,5200
0.5,0.5,1523851200,0.39,0.39,3854050,9700
0.5,0.5,1523937600,0.5,0.5,0,0
0.355,0.365,1524024000,0.355,0.355,1425000,4000
0.355,0.355,1524110400,0.355,0.355,0,0
0.355,0.355,1524196800,0.355,0.355,26840,61
0.365,0.44,1524456000,0.365,0.44,117000,300
0.365,0.365,1524542400,0.365,0.365,73000,200
0.365,0.365,1524628800,0.365,0.365,0,0
0.365,0.365,1524715200,0.365,0.365,0,0
0.365,0.365,1524801600,0.365,0.365,0,0
0.37,0.37,1525060800,0.364,0.37,3574214,9667
0.37,0.37,1525147200,0.37,0.37,0,0
0.36,0.36,1525233600,0.36,0.36,900000,2500
0.36,0.36,1525320000,0.36,0.36,0,0
0.36,0.36,1525406400,0.36,0.36,0,0
0.36,0.36,1525665600,0.36,0.36,0,0
0.36,0.36,1525752000,0.36,0.36,0,0
0.36,0.36,1525838400,0.36,0.36,0,0
0.36,0.36,1525924800,0.36,0.36,0,0
0.36,0.36,1526011200,0.36,0.36,0,0
0.36,0.36,1526270400,0.36,0.36,0,0
0.36,0.36,1526356800,0.36,0.36,0,0
0.36,0.36,1526443200,0.28,0.33,10073999,31400
0.36,0.36,1526529600,0.36,0.36,0,0
0.36,0.36,1526616000,0.36,0.36,0,0
0.25,0.25,1526875200,0.25,0.25,100000,400
0.25,0.25,1526961600,0.25,0.25,0,0
0.25,0.25,1527048000,0.25,0.25,0,0
0.2801,0.2801,1527134400,0.2789,0.28,14361129,51292
0.2801,0.2801,1527220800,0.2801,0.2801,0,0
0.2801,0.2801,1527566400,0.2801,0.2801,0,0
0.2801,0.2801,1527652800,0.2801,0.2801,0,0
0.2801,0.2801,1527739200,0.2801,0.2801,0,0
0.2801,0.2801,1527825600,0.2801,0.2801,0,0
0.2801,0.2801,1528084800,0.2801,0.2801,0,0
0.28,0.28,1528171200,0.28,0.28,56000,200
0.28,0.28,1528257600,0.28,0.28,0,0
0.32,0.32,1528344000,0.32,0.32,213760,668
0.32,0.32,1528430400,0.32,0.32,0,0
0.325,0.325,1528689600,0.325,0.325,32500,100
0.325,0.325,1528776000,0.325,0.325,0,0
0.325,0.325,1528862400,0.325,0.325,53489,184
0.28,0.28,1528948800,0.28,0.28,1456000,5200
0.28,0.28,1529035200,0.28,0.28,81760,292
0.28,0.28,1529294400,0.28,0.28,0,0
0.28,0.28,1529380800,0.28,0.28,9723,30
0.2275,0.28,1529467200,0.2275,0.28,889306,3202
0.2275,0.2275,1529553600,0.2275,0.2275,0,0
0.2275,0.2275,1529640000,0.2275,0.2275,0,0
0.2275,0.2275,1529899200,0.2275,0.2275,0,0
0.27,0.27,1529985600,0.26,0.26,1672000,6200
0.27,0.27,1530072000,0.27,0.27,0,0
0.27,0.27,1530158400,0.27,0.27,0,0
0.27,0.27,1530244800,0.27,0.27,0,0
0.27,0.27,1530504000,0.27,0.27,0,0
0.15,0.15,1530590400,0.15,0.15,75000,500
0.2,0.2,1530763200,0.195,0.195,717190,3600
0.2,0.2,1530849600,0.2,0.2,0,0
0.2,0.2,1531108800,0.2,0.2,0,0
0.18,0.2,1531195200,0.18,0.2,2376430,13100
0.18,0.18,1531281600,0.18,0.18,0,0
0.2,0.2,1531368000,0.2,0.2,100200,501
0.2,0.2,1531454400,0.2,0.2,0,0
0.11009999999999999,0.11009999999999999,1531713600,0.11009999999999999,0.11009999999999999,33030,300
0.2,0.2,1531800000,0.1431,0.1431,230310,1200
0.2,0.2,1531886400,0.2,0.2,0,0
0.2,0.2,1531972800,0.2,0.2,0,0
0.2,0.2,1532059200,0.2,0.2,0,0
0.2,0.2,1532318400,0.2,0.2,0,0
0.191,0.191,1532404800,0.191,0.191,38200,200
0.2,0.2,1532491200,0.2,0.2,1200000,6000
0.2004,0.2004,1532577600,0.2,0.2,2402400,12000
0.2004,0.2004,1532664000,0.2004,0.2004,0,0
0.2004,0.2004,1532923200,0.2004,0.2004,0,0
0.15,0.15009999999999998,1533009600,0.1001,0.1001,846740,6900
0.15009999999999998,0.15009999999999998,1533096000,0.15009999999999998,0.15009999999999998,225150,1500
0.1006,0.15,1533182400,0.1006,0.15,518000,5100
0.15,0.15,1533268800,0.11,0.11,718200,6420
0.22,0.22,1533528000,0.22,0.22,220000,1000
0.23,0.23,1533614400,0.22,0.22,204000,900
0.1651,0.16519999999999999,1533700800,0.165,0.165,5282560,32000
0.1804,0.1804,1533787200,0.1804,0.1804,180400,1000
0.1754,0.18969999999999998,1533873600,0.175,0.18969999999999998,843075,4750
0.1754,0.1754,1534132800,0.1754,0.1754,0,0
0.1754,0.1754,1534219200,0.1754,0.1754,0,0
0.175,0.23,1534305600,0.175,0.1751,1774250,9900
0.1006,0.2297,1534392000,0.1005,0.2175,568618,5078
0.1006,0.1006,1534478400,0.1006,0.1006,0,0
0.1006,0.1006,1534737600,0.1006,0.1006,0,0
0.1492,0.15,1534824000,0.122,0.15,2311971,17250
0.1499,0.15,1534910400,0.122,0.122,2251489,15200
0.15,0.15,1534996800,0.1497,0.15,434700,2900
0.15,0.15,1535083200,0.15,0.15,0,0
0.15,0.15,1535342400,0.15,0.15,0,0
0.15,0.15,1535428800,0.15,0.15,0,0
0.15,0.15,1535515200,0.15,0.15,0,0
0.15,0.15,1535601600,0.15,0.15,60000,400
0.15,0.15,1535688000,0.15,0.15,0,0
0.122,0.122,1536033600,0.122,0.122,622200,5100
0.122,0.122,1536120000,0.122,0.122,0,0
0.13,0.13,1536206400,0.13,0.13,143000,1100
0.13,0.13,1536292800,0.13,0.13,390000,3000
0.13,0.13,1536552000,0.13,0.13,0,0
0.13,0.13,1536638400,0.13,0.13,0,0
0.13,0.13,1536724800,0.13,0.13,0,0
0.13,0.13,1536811200,0.13,0.13,0,0
0.13,0.13,1536897600,0.13,0.13,0,0
0.1323,0.1323,1537156800,0.1323,0.1323,52920,400
0.13069999999999998,0.13069999999999998,1537243200,0.13,0.13,78210,600
0.13069999999999998,0.13069999999999998,1537329600,0.13069999999999998,0.13069999999999998,0,0
0.13069999999999998,0.13069999999999998,1537416000,0.13069999999999998,0.13069999999999998,0,0
0.13069999999999998,0.13069999999999998,1537502400,0.13069999999999998,0.13069999999999998,1300,10
0.13069999999999998,0.13069999999999998,1537761600,0.13069999999999998,0.13069999999999998,0,0
0.13069999999999998,0.13069999999999998,1537848000,0.13069999999999998,0.13069999999999998,0,0
0.13069999999999998,0.13069999999999998,1537934400,0.13069999999999998,0.13069999999999998,0,0
0.13069999999999998,0.13069999999999998,1538020800,0.13,0.13,362373,2780
0.13069999999999998,0.13069999999999998,1538107200,0.13069999999999998,0.13069999999999998,0,0
0.13069999999999998,0.13069999999999998,1538366400,0.13069999999999998,0.13069999999999998,0,0
0.13069999999999998,0.13069999999999998,1538452800,0.13069999999999998,0.13069999999999998,0,0
0.13069999999999998,0.13069999999999998,1538539200,0.13069999999999998,0.13069999999999998,650,5
0.1206,0.142871,1538625600,0.12,0.13,1085025,8443
0.12,0.12,1538712000,0.12,0.12,180000,1500
0.12,0.12,1538971200,0.12,0.12,180000,1500
0.1005,0.11059999999999999,1539057600,0.1005,0.1018,1197180,11800
0.1005,0.1005,1539144000,0.1005,0.1005,0,0
0.0726,0.0726,1539230400,0.0726,0.0726,145200,2000
0.1,0.105,1539316800,0.0725,0.0943,392440,3810
0.1,0.1,1539576000,0.1,0.1,0,0
0.1,0.1,1539662400,0.1,0.1,10000,100
0.0402,0.095,1539748800,0.04,0.09,8395984,122697
0.040100000000000004,0.05,1539835200,0.04,0.05,1761831,42231
0.040100000000000004,0.040100000000000004,1539921600,0.040100000000000004,0.040100000000000004,0,0
0.040100000000000004,0.040100000000000004,1540180800,0.040100000000000004,0.040100000000000004,0,0
0.040100000000000004,0.040100000000000004,1540267200,0.040100000000000004,0.040100000000000004,0,0
0.040100000000000004,0.040100000000000004,1540353600,0.040100000000000004,0.040100000000000004,3215,46
0.040100000000000004,0.040100000000000004,1540440000,0.040100000000000004,0.040100000000000004,0,0
0.040100000000000004,0.040100000000000004,1540526400,0.040100000000000004,0.040100000000000004,0,4
0.040100000000000004,0.040100000000000004,1540785600,0.040100000000000004,0.040100000000000004,0,0
0.040100000000000004,0.040100000000000004,1540872000,0.040100000000000004,0.040100000000000004,0,0
0.040100000000000004,0.040100000000000004,1540958400,0.040100000000000004,0.040100000000000004,0,0
0.040100000000000004,0.040100000000000004,1541044800,0.040100000000000004,0.040100000000000004,280,4
0.040100000000000004,0.040100000000000004,1541131200,0.040100000000000004,0.040100000000000004,0,0
0.0701,0.0792,1541394000,0.0699,0.0699,628110,8800
0.0701,0.0701,1541480400,0.0701,0.0701,0,0
0.05,0.05,1541566800,0.05,0.05,209800,4196
0.05,0.05,1541653200,0.05,0.05,6500,178
0.05,0.05,1541739600,0.05,0.05,0,0
0.05,0.05,1541998800,0.05,0.05,0,0
0.05,0.05,1542085200,0.05,0.05,0,0
0.021,0.04,1542171600,0.021,0.04,122521,3544
0.030100000000000002,0.030100000000000002,1542258000,0.030100000000000002,0.030100000000000002,60200,2000
0.1,0.1,1542344400,0.08,0.08,1415520,14400
