2018-11-06_code,2018-11-06_days,2018-11-12_code,2018-11-12_days,2018-11-18_code,2018-11-18_days,2018-11-19_code,2018-11-19_days,2018-11-21_code,2018-11-21_days,2018-11-27_code,2018-11-27_days
EGC,0.0,,,AAXN,4.0,AAXN,4.0,ACRS,2,ACP,1.0
ETP,0.0,,,ADMS,0.0,ADMS,0.0,ADMS,3,ACRS,4.0
PF,0.0,,,AEGN,0.0,AEGN,0.0,AEGN,3,AETI,2.0
PX,0.0,,,AGN,0.0,AGN,0.0,AETI,0,AHH,4.0
RDNT,0.0,,,AGRO,3.0,AGRO,3.0,AGN,3,AINV,3.0
SVU,0.0,,,AIR,0.0,AIR,0.0,AHH,2,AMR,3.0
ANGL,1.0,,,ALT,0.0,ALT,0.0,AINV,1,AMRS,4.0
BND,1.0,,,ALXN,0.0,ALXN,0.0,AIR,3,AN,3.0
CEI,1.0,,,AMRS,2.0,AMRS,2.0,ALT,3,APRI,3.0
CMF,1.0,,,AMSWA,0.0,AMSWA,0.0,ALXN,3,ASC,4.0
IGSB,1.0,,,ANGL,0.0,ANGL,0.0,AMR,1,AVXL,4.0
LQD,1.0,,,APHB,2.0,APHB,2.0,AMRS,2,AWF,3.0
PFIE,1.0,,,ATEN,0.0,ATEN,0.0,AMSWA,3,AWSM,4.0
PRTS,1.0,,,ATUS,0.0,ATUS,0.0,AN,1,BLRX,4.0
RESI,1.0,,,AUDC,0.0,AUDC,0.0,ANGL,3,CBA,0.0
SPTL,1.0,,,AXGN,0.0,AXGN,0.0,APRI,1,CCLP,3.0
SRLN,1.0,,,BGY,0.0,BGY,0.0,ASC,2,CEIX,1.0
TFI,1.0,,,BHGE,2.0,BHGE,2.0,ATEN,3,CEQP,1.0
EGY,2.0,,,BKE,0.0,BKE,0.0,ATUS,3,CLDX,1.0
SCYX,2.0,,,BLRX,1.0,BLRX,1.0,AUDC,3,CLNC,2.0
WIW,2.0,,,BRS,0.0,BRS,0.0,AVXL,2,CNQ,3.0
ADMP,3.0,,,BSJJ,0.0,BSJJ,0.0,AWF,1,CTRA,1.0
AG,3.0,,,BSJL,0.0,BSJL,0.0,AWSM,2,CVRR,0.0
AGI,3.0,,,BSJM,0.0,BSJM,0.0,AXGN,3,CYHHZ,3.0
AMLP,3.0,,,BSJN,0.0,BSJN,0.0,BGY,3,DBL,0.0
AUY,3.0,,,BXMX,0.0,BXMX,0.0,BKE,3,DHF,4.0
CDE,3.0,,,CBD,4.0,CBD,4.0,BLRX,2,DSLV,3.0
GDXJ,3.0,,,CC,0.0,CC,0.0,BRS,3,DXPE,2.0
GFI,3.0,,,CEI,1.0,CEI,1.0,BSJJ,3,EPE,2.0
HL,3.0,,,CELG,0.0,CELG,0.0,BSJL,3,ERH,3.0
HMY,3.0,,,CGC,0.0,CGC,0.0,BSJM,3,ESEA,0.0
IGC,3.0,,,CII,0.0,CII,0.0,BSJN,3,ESNC,4.0
JFR,3.0,,,CISN,0.0,CISN,0.0,BXMX,3,EYES,2.0
JNUG,3.0,,,CMTL,0.0,CMTL,0.0,CBA,0,FLTR,0.0
MUX,3.0,,,CRMD,1.0,CRMD,1.0,CC,3,FNJN,2.0
NFG,3.0,,,CTRN,0.0,CTRN,0.0,CCLP,1,FSD,2.0
OHGI,3.0,,,DBA,3.0,DBA,3.0,CDR,0,FTSL,4.0
SA,3.0,,,DERM,0.0,DERM,0.0,CEI,4,GIM,3.0
SIL,3.0,,,DEX,0.0,DEX,0.0,CELG,3,GNC,2.0
SQBG,3.0,,,DGAZ,0.0,DGAZ,0.0,CGC,3,GPP,2.0
SSRM,3.0,,,DHF,2.0,DHF,2.0,CII,3,HABT,4.0
VSAR,3.0,,,DHT,0.0,DHT,0.0,CISN,3,HCHC,4.0
ASA,4.0,,,DISCA,0.0,DISCA,0.0,CMTL,3,HIO,3.0
IRS,4.0,,,DISCK,0.0,DISCK,0.0,CNQ,1,HYT,2.0
RSYS,4.0,,,DLNG,0.0,DLNG,0.0,CRMD,4,IMAX,2.0
,,,,DS,0.0,DS,0.0,CTRN,3,IMXI,2.0
,,,,DWSN,0.0,DWSN,0.0,CYHHZ,0,LDF,0.0
,,,,EA,0.0,EA,0.0,DERM,3,LDP,2.0
,,,,EAD,0.0,EAD,0.0,DEX,3,LOCO,4.0
,,,,EFF,0.0,EFF,0.0,DGAZ,3,MARA,2.0
,,,,EIGI,4.0,EIGI,4.0,DHF,1,MCK,4.0
,,,,ESES,4.0,ESES,4.0,DHT,3,MDGL,4.0
,,,,ETSY,0.0,ETSY,0.0,DISCA,3,MERC,2.0
,,,,ETV,0.0,ETV,0.0,DISCK,3,MQY,1.0
,,,,ETY,0.0,ETY,0.0,DLNG,3,MRT,2.0
,,,,EVC,0.0,EVC,0.0,DPZ,2,NEV,3.0
,,,,EVRI,0.0,EVRI,0.0,DS,3,NSL,1.0
,,,,EVT,0.0,EVT,0.0,DSLV,0,PAVM,2.0
,,,,EVV,1.0,EVV,1.0,DTEA,2,PRPO,1.0
,,,,EWZ,4.0,EWZ,4.0,DWSN,3,PRS,2.0
,,,,EXPR,0.0,EXPR,0.0,DXCM,2,PTI,0.0
,,,,FAM,1.0,FAM,1.0,EA,3,PTN,2.0
,,,,FIX,0.0,FIX,0.0,EAD,3,QHC,4.0
,,,,FLOW,0.0,FLOW,0.0,EFF,3,RA,4.0
,,,,FSIC,0.0,FSIC,0.0,ERH,0,RWGE,0.0
,,,,FTGC,4.0,FTGC,4.0,ESNC,1,SGLB,2.0
,,,,GBNK,0.0,GBNK,0.0,ETSY,3,SJM,1.0
,,,,GBT,0.0,GBT,0.0,ETV,3,STKL,3.0
,,,,GGN,3.0,GGN,3.0,ETY,3,SVRA,0.0
,,,,GLMD,3.0,GLMD,3.0,EVC,3,TKKS,4.0
,,,,GLNG,0.0,GLNG,0.0,EVRI,3,TPVG,4.0
,,,,GLT,1.0,GLT,1.0,EVT,3,TTI,4.0
,,,,GMZ,0.0,GMZ,0.0,EVV,4,TUES,4.0
,,,,GSBD,0.0,GSBD,0.0,EXPR,3,VKI,0.0
,,,,GTS,0.0,GTS,0.0,FAM,4,VKQ,3.0
,,,,HI,0.0,HI,0.0,FIX,3,VRA,2.0
,,,,HIO,0.0,HIO,0.0,FLOW,3,VRIG,2.0
,,,,HIX,0.0,HIX,0.0,FRTA,2,VTGN,3.0
,,,,HMNY,2.0,HMNY,2.0,FSIC,3,VTVT,2.0
,,,,HNW,0.0,HNW,0.0,FTSL,1,WFT,0.0
,,,,HWC,0.0,HWC,0.0,GBNK,3,WLDN,2.0
,,,,HYLB,0.0,HYLB,0.0,GBT,3,WSC,2.0
,,,,HYLD,1.0,HYLD,1.0,GLNG,3,,
,,,,HYS,0.0,HYS,0.0,GLT,4,,
,,,,IDEX,2.0,IDEX,2.0,GMLP,2,,
,,,,INNT,0.0,INNT,0.0,GMZ,3,,
,,,,INSY,0.0,INSY,0.0,GSBD,3,,
,,,,INT,0.0,INT,0.0,GTS,3,,
,,,,INTL,0.0,INTL,0.0,HABT,1,,
,,,,IPHS,0.0,IPHS,0.0,HCHC,1,,
,,,,JCP,0.0,JCP,0.0,HI,3,,
,,,,JEC,0.0,JEC,0.0,HIO,3,,
,,,,JNK,0.0,JNK,0.0,HIX,3,,
,,,,KKR,0.0,KKR,0.0,HNW,3,,
,,,,KOLD,0.0,KOLD,0.0,HWC,3,,
,,,,LEE,0.0,LEE,0.0,HYLB,3,,
,,,,LGCY,4.0,LGCY,4.0,HYLD,4,,
,,,,LKM,4.0,LKM,4.0,HYLS,2,,
,,,,LLEX,0.0,LLEX,0.0,HYS,3,,
,,,,MBII,1.0,MBII,1.0,IFRX,0,,
,,,,METC,1.0,METC,1.0,IGLB,2,,
,,,,MGP,0.0,MGP,0.0,INNT,3,,
,,,,MRNS,0.0,MRNS,0.0,INSY,3,,
,,,,MUX,4.0,MUX,4.0,INT,3,,
,,,,NAVB,2.0,NAVB,2.0,INTL,3,,
,,,,NBIX,0.0,NBIX,0.0,IPHS,3,,
,,,,NCMI,0.0,NCMI,0.0,JCP,3,,
,,,,NEOS,0.0,NEOS,0.0,JEC,3,,
,,,,NIHD,0.0,NIHD,0.0,JNK,3,,
,,,,NINE,4.0,NINE,4.0,KKR,3,,
,,,,NM,1.0,NM,1.0,KOLD,3,,
,,,,NMRK,1.0,NMRK,1.0,LDL,2,,
,,,,NSL,0.0,NSL,0.0,LEE,3,,
,,,,NSP,0.0,NSP,0.0,LLEX,3,,
,,,,OBSV,0.0,OBSV,0.0,LOCO,1,,
,,,,OCN,1.0,OCN,1.0,MBII,4,,
,,,,OCUL,0.0,OCUL,0.0,MCK,1,,
,,,,OEC,0.0,OEC,0.0,MDGL,1,,
,,,,ORBC,0.0,ORBC,0.0,METC,4,,
,,,,OTIV,2.0,OTIV,2.0,MGP,3,,
,,,,OXLC,1.0,OXLC,1.0,MIE,2,,
,,,,PCEF,0.0,PCEF,0.0,MRNS,3,,
,,,,PETS,0.0,PETS,0.0,NBIX,3,,
,,,,PGLC,1.0,PGLC,1.0,NCMI,3,,
,,,,PHT,0.0,PHT,0.0,NEOS,3,,
,,,,PKX,2.0,PKX,2.0,NEV,0,,
,,,,PSTG,0.0,PSTG,0.0,NIHD,3,,
,,,,PTI,0.0,PTI,0.0,NM,4,,
,,,,QQQX,0.0,QQQX,0.0,NMRK,4,,
,,,,RETA,0.0,RETA,0.0,NSL,3,,
,,,,RFUN,0.0,RFUN,0.0,NSP,3,,
,,,,RIOT,2.0,RIOT,2.0,NVLN,2,,
,,,,RMED,4.0,RMED,4.0,OBSV,3,,
,,,,RTIX,0.0,RTIX,0.0,OCN,4,,
,,,,RVT,0.0,RVT,0.0,OCUL,3,,
,,,,SB,0.0,SB,0.0,OEC,3,,
,,,,SBH,0.0,SBH,0.0,ORBC,3,,
,,,,SGMS,0.0,SGMS,0.0,OXLC,4,,
,,,,SGRY,0.0,SGRY,0.0,PCEF,3,,
,,,,SHYG,0.0,SHYG,0.0,PDT,0,,
,,,,SJNK,0.0,SJNK,0.0,PETS,3,,
,,,,SNSS,0.0,SNSS,0.0,PGLC,4,,
,,,,SOLO,4.0,SOLO,4.0,PGX,2,,
,,,,STBZ,0.0,STBZ,0.0,PHT,3,,
,,,,STK,0.0,STK,0.0,PSTG,3,,
,,,,STKL,3.0,STKL,3.0,PTI,3,,
,,,,TACT,0.0,TACT,0.0,QHC,1,,
,,,,TECH,0.0,TECH,0.0,QQQX,3,,
,,,,THW,0.0,THW,0.0,RA,1,,
,,,,TLYS,0.0,TLYS,0.0,RETA,3,,
,,,,TPB,0.0,TPB,0.0,RFUN,3,,
,,,,TREX,0.0,TREX,0.0,RTIX,3,,
,,,,TROX,0.0,TROX,0.0,RVT,3,,
,,,,TTI,0.0,TTI,0.0,RWGE,0,,
,,,,TTOO,4.0,TTOO,4.0,SB,3,,
,,,,URBN,0.0,URBN,0.0,SBH,3,,
,,,,VRS,0.0,VRS,0.0,SGMS,3,,
,,,,VRTU,0.0,VRTU,0.0,SGRY,3,,
,,,,WAGE,0.0,WAGE,0.0,SHYG,3,,
,,,,WHD,0.0,WHD,0.0,SJNK,3,,
,,,,WTTR,0.0,WTTR,0.0,SNES,2,,
,,,,YGYI,0.0,YGYI,0.0,SNSS,3,,
,,,,,,,,STBZ,3,,
,,,,,,,,STIM,2,,
,,,,,,,,STK,3,,
,,,,,,,,STZ,2,,
,,,,,,,,TACT,3,,
,,,,,,,,TECH,3,,
,,,,,,,,TGI,2,,
,,,,,,,,THW,3,,
,,,,,,,,TIVO,2,,
,,,,,,,,TKKS,0,,
,,,,,,,,TLYS,3,,
,,,,,,,,TPB,3,,
,,,,,,,,TPVG,1,,
,,,,,,,,TREX,3,,
,,,,,,,,TROX,3,,
,,,,,,,,TTI,1,,
,,,,,,,,TUES,1,,
,,,,,,,,ULH,2,,
,,,,,,,,URBN,3,,
,,,,,,,,VKQ,0,,
,,,,,,,,VRS,3,,
,,,,,,,,VRTU,3,,
,,,,,,,,VTGN,0,,
,,,,,,,,WAGE,3,,
,,,,,,,,WCG,2,,
,,,,,,,,WHD,3,,
,,,,,,,,WRI,2,,
,,,,,,,,WTTR,3,,
,,,,,,,,YGYI,3,,
