,code,name,201712,201709,201706,201703,pb,per,trade,201612
151,SH601766,中国中车,4.24,4.098281,3.988233,4.11549,3.842625,2.248,25.079,9.53
152,SH601788,光大证券,10.535274,10.606408,10.37728,10.404577,10.235932,1.17,18.847,12.33
153,SH601800,中国交建,10.00572,9.525092,9.198807,8.936306,8.670032,1.335,11.041,13.36
154,SH601818,光大银行,5.24,5.22,5.05,4.99,4.72,0.761,6.234,3.99
155,SH601857,中国石油,6.522803,6.519781,6.545571,6.544942,6.498265,1.171,63.667,7.64
156,SH601866,中远海发,1.30754,1.228067,1.214274,1.168834,1.134118,2.302,24.061,3.01
157,SH601872,招商轮船,2.871321,2.931204,3.048615,3.05668,3.013357,1.278,30.583,3.67
158,SH601877,正泰电器, , , , , ,3.156,21.519,28.19
159,SH601878,浙商证券,4.054167,3.942486,3.854716,3.275545,3.19,3.063,36.529,12.42
160,SH601881,中国银河,6.363951,6.32928,6.179293,6.234317,6.080211,1.6440000000000001,26.821,10.46
161,SH601888,中国国旅, ,6.89,6.595545,13.61,12.91,7.437,27.664,51.24
162,SH601898,中煤能源,6.713478,6.689025,6.618703,6.600612,6.482314,0.742,27.667,4.98
163,SH601899,紫金矿业,1.498017,1.465933,1.431267,1.352407,1.288835,2.7640000000000002,25.875,4.14
164,SH601901,方正证券,4.55,4.52,4.43,4.36,4.3,1.299,32.833,5.91
165,SH601919,中远海控,2.023172,2.062325,1.994148,1.839398,1.793539,2.659,20.692,5.38
166,SH601933,永辉超市,2.089217,2.033704,1.998473,2.083263,2.006021,4.207,46.263,8.79
167,SH601939,建设银行,6.86,6.76,6.5,6.52,6.28,1.071,7.656,7.35
168,SH601958,金钼股份,3.952347,3.92245,3.921698,3.94702,3.944346,1.7000000000000002,224.0,6.72
169,SH601966,玲珑轮胎, ,7.013935,6.819805,6.876206,6.67303,2.3609999999999998,18.0,16.56
170,SH601985,中国核电, ,2.770934,2.668953,2.692368,2.613316,2.3529999999999998,22.639,6.52
171,SH601988,中国银行,4.74,4.69,4.59,4.59,4.46,0.797,6.75,3.78
172,SH601989,中国重工, ,3.339981,3.194852,3.096368,3.080856,1.6139999999999999,141.842,5.39
173,SH601991,大唐发电,3.116333,3.132937,3.064328,3.031625,2.984097,1.104,26.75,3.44
174,SH601992,金隅集团,7.478907,3.850484,3.783446,3.714902,3.672909,0.626,17.333,4.68
175,SH601997,贵阳银行, ,10.25,9.69,9.57,9.2,1.4020000000000001,7.726,14.37
176,SH601998,中信银行,8.17,7.38,7.92,7.93,7.75,0.785,7.631,6.41
177,SH603160,汇顶科技, ,7.360946,6.842344,6.539621,6.145221,12.93,45.324,95.18
178,SH603799,华友钴业, ,8.921384,8.411175,7.75857,7.338766,11.256,772.462,100.42
179,SH603833,欧派家居, ,14.573194,13.312025,11.911125,7.71,9.009,51.689,131.29
180,SH603858,步长制药, ,18.530692,17.869857,18.81549,18.489316,2.615,16.921,48.46
181,SH603993,洛阳钼业,1.766598,1.725917,1.107875,1.144837,1.109601,4.404,55.571,7.78
182,SZ000001,平安银行,11.77,11.54,11.15,10.94,10.61,0.977,8.846,11.5
183,SZ000002,万科Ａ,12.02,10.541867,10.2,10.324287,10.28,2.499,11.827,30.04
184,SZ000008,神州高铁, ,2.215323,2.195523,2.183876,2.176161,2.713,31.302,0.0
185,SZ000060,中金岭南,4.203414,4.183335,4.06105,3.591408,3.47208,2.234,20.413,9.39
186,SZ000063,中兴通讯,7.55,7.36,6.92,6.59,6.31,4.147,28.725,0.0
187,SZ000069,华侨城Ａ, ,5.848756,5.500182,5.434822,5.327665,1.359,9.47,7.95
188,SZ000100,TCL集团, ,2.01,1.94,1.94,1.86,1.624,24.924,3.27
189,SZ000157,中联重科,4.821404,4.894246,4.847727,4.821946,4.803356,0.863,24.471,4.16
190,SZ000166,申万宏源, ,2.717379,2.62059,2.66112,2.607859,1.766,17.778,4.8
191,SZ000333,美的集团,11.238658,10.875964,10.171427,10.135639,9.464178,4.336,18.32,48.73
192,SZ000338,潍柴动力,4.406461,4.149003,8.173438,8.220983,7.937307,1.9020000000000001,9.859,8.38
193,SZ000402,金 融 街,9.888226,9.368006,9.250647,9.475176,9.281929,0.932,9.129,9.22
194,SZ000413,东旭光电, ,4.635228,4.556119,4.576883,4.497291,1.5899999999999999,25.414,7.37
195,SZ000415,渤海金控, ,5.05358,5.013819,5.060134,5.036397,1.156,15.784,0.0
196,SZ000423,东阿阿胶,15.051951,13.773504,13.235026,13.705559,12.781176,4.009,19.307,60.35
197,SZ000425,徐工机械, ,3.017076,2.984204,2.94904,2.919326,1.339,134.667,4.04
198,SZ000503,海虹控股, ,1.401411,1.479839,1.5341,1.582068,28.75,1291.346,40.29
199,SZ000538,云南白药,17.320458,16.801979,16.603343,15.796825,15.100511,5.391,30.917,93.37
200,SZ000540,中天金融,3.421166,3.344207,3.297597,3.398947,3.174999,2.148,16.498,0.0
201,SZ000559,万向钱潮,1.834276,1.733032,1.668256,1.997696,1.895871,4.552,26.094,8.35
202,SZ000568,泸州老窖,10.357687,9.99716,7.94719,8.424411,7.85152,5.642,32.503,58.44
203,SZ000623,吉林敖东,17.45807,17.20693,16.668119,21.49867,20.838936,1.161,12.669,20.27
204,SZ000625,长安汽车,9.910925,9.6484,9.390652,9.572093,9.072871,1.102,7.329,10.92
205,SZ000627,天茂集团, ,3.278479,3.161618,3.241803,3.240462,2.3609999999999998,17.591,7.74
206,SZ000630,铜陵有色,1.641615,1.622267,1.611517,1.593111,1.580552,1.5779999999999998,51.8,2.59
207,SZ000651,格力电器, ,9.7451,8.720173,9.619208,8.953849,4.654,17.715,45.35
208,SZ000671,阳光城,3.740702,3.387357,3.314571,3.292733,3.259923,1.9809999999999999,14.529,7.41
209,SZ000686,东北证券,6.695619,6.746866,6.72473,6.762694,6.659909,1.159,27.714,7.76
210,SZ000709,河钢股份, ,4.352548,4.262528,4.285791,4.220926,0.767,22.267,3.34
211,SZ000723,美锦能源,1.881396,1.834804,1.750159,3.150924,3.030449,2.886,20.885,0.0
212,SZ000725,京东方A, ,2.405992,2.327287,2.303479,2.23878,1.933,86.111,4.65
213,SZ000728,国元证券,7.539245,7.090332,6.988472,10.673477,10.560595,1.166,21.975,8.79
214,SZ000738,航发控制,4.479018,4.453804,4.417302,4.341479,4.307643,3.711,87.474,16.62
215,SZ000750,国海证券, ,3.305623,3.251722,3.321282,3.26352,1.271,17.5,4.2
216,SZ000768,中航飞机,5.676143,5.561824,5.541377,5.51962,5.54913,3.402,113.388,19.31
217,SZ000776,广发证券,11.134132,10.969903,10.598815,10.68443,10.30433,1.433,14.115,15.95
218,SZ000783,长江证券, ,4.796833,4.691435,4.718484,4.614231,1.468,16.0,7.04
219,SZ000792,盐湖股份,6.731072,7.91693,8.040662,12.261053,12.405258,1.8940000000000001,-8.54,12.75
220,SZ000826,启迪桑德,12.549319,12.158981,8.816093,8.686148,8.463796,2.336,23.123,0.0
221,SZ000839,中信国安, ,1.737195,1.786706,1.690541,1.665832,3.88,114.821,6.74
222,SZ000858,五 粮 液, ,13.336556,12.811457,13.348336,12.401776,4.974,37.118,66.33
223,SZ000876,新 希 望, ,4.887773,5.212694,5.106586,4.92185,1.451,12.017,7.09
224,SZ000895,双汇发展,4.430012,4.071113,3.692253,4.574395,4.304452,5.65,19.12,25.03
225,SZ000898,鞍钢股份,6.91,6.594333,6.390463,6.352729,6.2,0.868,7.987,6.19
226,SZ000938,紫光股份, ,23.680647,23.37358,23.092608,22.838501,3.354,74.433,79.42
227,SZ000959,首钢股份,4.994844,4.831528,4.94869,5.04668,4.609498,0.869,10.672,4.46
228,SZ000961,中南建设, ,3.732133,3.722437,3.695247,3.654652,1.913,61.499,7.14
229,SZ000963,华东医药,8.634017,8.343694,7.883609,16.093829,14.974593,7.643,36.06,65.99
230,SZ000983,西山煤电, ,5.767227,5.584799,5.407681,5.213505,1.32,55.265,7.61
231,SZ001979,招商蛇口,8.143632,7.078854,7.068194,7.408671,7.14549,2.674,14.052,21.78
232,SZ002007,华兰生物,5.017496,4.800608,4.5985,4.809502,4.534973,6.013,34.187,30.17
233,SZ002008,大族激光,6.542667,6.461517,5.718007,5.198907,4.972853,7.829,32.833,51.22
234,SZ002024,苏宁易购,8.480995,8.600468,8.041851,7.48011,7.057937,1.5470000000000002,29.156,13.12
235,SZ002027,分众传媒, ,0.678251,0.791857,1.03763,0.914624,15.701,20.481,10.65
236,SZ002044,美年健康,2.49741,1.43447,1.36354,1.324323,2.420466,10.695,111.292,26.71
237,SZ002065,东华软件, ,2.907953,5.782631,5.689722,5.59437,2.909,14.762,8.46
238,SZ002074,国轩高科, ,5.117914,4.894739,4.717492,4.492342,3.693,15.882,18.9
239,SZ002081,金螳螂, ,4.157101,3.956574,3.949125,3.771349,3.134,20.359,13.03
240,SZ002142,宁波银行,10.31,9.69,9.55,12.0,8.97,1.742,9.978,17.96
241,SZ002146,荣盛发展,6.32686,5.677505,5.430076,5.547987,5.442624,1.6440000000000001,7.879,10.4
242,SZ002153,石基信息, ,4.848207,4.757958,4.72371,4.630146,5.85,78.778,28.36
243,SZ002174,游族网络,4.559717,3.679875,3.521718,3.394555,3.148067,4.575,27.447,20.86
244,SZ002202,金风科技,5.959044,5.67425,6.978895,6.819416,6.755897,2.6870000000000003,19.082,16.01
245,SZ002230,科大讯飞,5.557543,5.948303,5.885182,5.616671,5.367935,10.301,173.485,57.25
246,SZ002236,大华股份,3.610663,3.287844,3.129054,2.941834,2.840925,6.292,27.707,22.72
247,SZ002241,歌尔股份,4.589884,4.390239,4.218789,7.076132,6.835791,2.826,19.074,12.97
248,SZ002252,上海莱士, ,2.524191,2.477312,2.409066,2.357901,7.741,60.123,0.0
249,SZ002292,奥飞娱乐, ,3.827982,3.704467,3.69665,3.666339,3.294,32.333,12.61
250,SZ002294,信立泰,5.786659,5.465061,5.119409,5.483677,5.124516,6.428,28.583,39.73
251,SZ002304,洋河股份, ,18.891715,17.781325,19.108129,17.287975,5.708,27.863,107.83
252,SZ002310,东方园林, ,3.725613,3.574935,3.41768,3.432524,4.995,36.49,18.61
253,SZ002352,顺丰控股,7.408912,7.121573,5.224848,5.10041,4.902807,6.426,42.509,47.61
254,SZ002385,大北农,2.407845,2.366097,2.287058,2.265736,2.255927,2.334,18.129,5.62
255,SZ002411,必康股份,5.92628,5.748951,5.641453,5.53213,5.423748,4.402,44.79,26.09
256,SZ002415,海康威视, ,2.91749,2.605291,4.192218,3.979177,13.032,30.986,38.02
257,SZ002424,贵州百灵,2.423332,2.307875,2.231064,2.22524,2.141163,5.447,35.676,13.2
258,SZ002426,胜利精密,2.56068,2.540086,2.519346,2.496974,2.454138,1.839,34.863,4.71
259,SZ002450,康得新, ,4.910418,4.711983,4.570607,4.415528,4.028,32.967,0.0
260,SZ002456,欧菲科技, ,3.303128,3.15603,7.58578,7.402021,6.046,28.976,19.97
261,SZ002460,赣锋锂业, , , , ,3.305836,12.749,33.206,65.85
262,SZ002465,海格通信,3.531075,3.471856,3.454868,3.205578,3.11339,3.218,87.692,11.4
263,SZ002466,天齐锂业,7.94155,6.762791,5.545354,5.276416,4.617067,6.5600000000000005,26.856,52.1
264,SZ002468,申通快递, ,4.19357,3.943788,3.767673,3.554826,5.723,19.512,24.0
265,SZ002470,金正大,2.980611,3.04758,3.006101,2.982876,2.847164,3.033,39.304,9.04
266,SZ002475,立讯精密, ,3.823707,5.636954,5.458056,5.307438,5.777,36.817,22.09
267,SZ002500,山西证券,4.419615,4.397709,4.336771,4.404643,4.340501,1.778,56.143,7.86
268,SZ002508,老板电器,5.543328,5.013604,4.629401,6.02994,5.655115,5.881,21.169,32.6
269,SZ002555,三七互娱, ,3.067771,2.894237,2.378015,2.168902,4.801,28.713,14.73
270,SZ002558,巨人网络, ,4.104997,3.912651,4.681522,4.480522,6.821,41.176,28.0
271,SZ002572,索菲亚,4.842166,4.484357,4.179487,8.588908,8.421648,6.651,33.592,32.92
272,SZ002594,比亚迪,18.733766,18.403581,17.897925,17.669688,17.396496,2.8529999999999998,38.179,53.45
273,SZ002601,龙蟒佰利,6.341563,6.602116,6.298308,6.353746,6.072283,2.9050000000000002,14.736,0.0
274,SZ002602,世纪华通, ,4.963176,4.871089,4.39116,4.269363,6.961,70.51,34.55
275,SZ002608,江苏国信, ,5.189285,5.017811,4.86855,4.758618,1.63,25.636,8.46
276,SZ002624,完美世界,6.057776,5.774163,5.953666,5.780933,5.487529,5.596,29.737,33.9
277,SZ002673,西部证券, ,5.010172,4.929352,4.505288,4.438469,1.8900000000000001,23.54,9.47
278,SZ002714,牧原股份,8.871164,8.393439,7.865202,6.134469,5.476632,5.673,23.741,50.33
279,SZ002736,国信证券, ,5.591941,5.376922,5.418835,5.273137,1.908,19.054,10.67
280,SZ002739,万达电影, ,9.805062,9.487197,9.361103,8.845111,5.307,44.723,0.0
281,SZ002797,第一创业,2.528917,2.515338,2.483208,3.966032,3.934628,3.057,64.417,7.73
282,SZ002831,裕同科技, ,11.724822,10.993191,11.087699,10.678715,4.281,20.654,50.19
283,SZ002839,张家港行,4.580085,4.51,4.411643,4.52,4.5,1.76,18.744,8.06
284,SZ002841,视源股份,6.172359,5.888393,5.502777,5.131494,3.429574,13.512,48.488,83.4
285,SZ300003,乐普医疗,3.608821,3.453632,3.27984,3.231704,3.106328,8.909,63.626,32.15
286,SZ300015,爱尔眼科, ,2.217373,2.026392,2.920122,2.752737,18.4,72.857,40.8
287,SZ300017,网宿科技,3.297325,3.203811,3.13,9.385558,9.132364,4.5280000000000005,43.912,14.93
288,SZ300024,机器人,3.801679,3.710941,3.652832,3.593979,3.567672,5.59,76.687,21.25
289,SZ300027,华谊兄弟,3.482133,3.411506,3.405678,3.214293,3.243708,2.59,30.067,9.02
290,SZ300033,同花顺,5.894998,5.434219,5.110393,4.796842,5.493267,8.355,36.481,49.25
291,SZ300059,东方财富,3.138072,3.091937,3.039709,3.635042,3.604237,4.459,96.169,14.31
292,SZ300070,碧水源, ,5.188687,5.12139,5.077041,4.963798,3.319,28.7,17.22
293,SZ300072,三聚环保, ,4.56479,4.128744,5.724994,5.251048,5.805,19.203,26.5
294,SZ300122,智飞生物,1.835957,1.744057,1.673154,1.613484,1.575785,19.771,134.444,36.3
295,SZ300124,汇川技术, ,3.057398,2.85824,2.96355,2.841038,10.414,53.966,31.84
296,SZ300136,信维通信,2.807686,2.613201,2.347665,2.168109,2.001537,12.163,37.606,34.15
297,SZ300144,宋城演艺,5.046336,4.952285,4.68183,4.588509,4.408724,4.017,27.767,20.27
298,SZ300251,光线传媒, ,2.487889,2.432408,2.432232,2.398113,4.651,46.28,11.57
299,SZ300315,掌趣科技, ,3.147758,3.10083,3.092602,3.035848,1.912,33.444,6.02
